DOI,Relevant to Study,Review,Observational,Experiment,Metanalysis,QModel,TModel,Type of study,Ecosystem,Taxonomic,System,NEWPhysiological,Morphological,Physiological,Life History,Behavioural,Trait Types,Fundamental,Physical,Ecological,Trophic,Level of Prediction Possible,Forecasting/Predictive,Global Change Driver
10.1002/ecs2.2220,Y,0,1,0,0,0,0,Observational,Marine,Fish,Continental Shelf,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1111/geb.12148,Y,1,0,0,0,0,0,Review,Terrestrial,Birds,Broad,0,1,0,1,1,"Morphological, Life History, Behavioural",0,0,1,1,T,0,0
10.1086/653665,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1016/j.ecss.2013.07.019,Y,0,1,0,0,0,0,Observational,Terrestrial,Insects,Delile meadows,0,0,0,0,1,Behavioural,0,0,1,0,E,0,Global Change Broad
10.1111/j.1365-2486.2007.01483.x,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Temperate Forest,0,0,0,1,0,Life History,1,0,0,0,F,0,Global Change Broad
10.1002/ece3.2606,Y,0,1,0,0,0,0,Observational,Terrestrial,Insects,Tropical Rainforest,0,0,0,0,1,Behavioural,1,0,1,1,T,0,0
10.1111/j.1365-2656.2007.01308.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1600-0706.2013.00430.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1600-0587.2012.07479.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1186/1472-6785-12-21,Y,0,1,0,0,0,0,Observational,Terrestrial, Plants,Shrublands,0,0,0,1,0,Life History,1,0,1,0,E,0,0
10.1371/journal.pbio.0020197,Y,1,0,0,0,0,0,Review,Terrestrial,Mammals,Broad,0,1,0,1,1,"Morphological, Life History, Behavioural",1,0,0,1,T,1,Global Change Broad
10.1093/icb/icx015,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1558-5646.2010.01131.x,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Broad,1,1,1,1,0,"Morphological, Physiological, Life History",1,0,0,0,F,0,0
10.1111/1365-2745.12604,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Temperate Forest,0,1,0,0,0,Morphological,1,0,0,0,E,0,Climate Change
10.4081/jlimnol.2012.e8,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1016/j.ecolmodel.2009.04.021,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/ecog.02632,Y,0,1,0,0,0,0,Observational,Terrestrial,Insects,Broad,0,1,0,0,1,"Morphological, Behavioural",1,0,0,0,T,0,Habitat Degredation
10.1111/jbi.12444,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1002/ece3.2780,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1371/journal.pone.0035942,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/ele.12342,Y,1,0,0,0,0,0,Review,Terrestrial,Plants,Broad,0,1,0,0,0,Morphological,0,0,1,0,E,0,0
10.1007/s10682-018-9945-4,Y,0,1,0,0,0,0,Observational,Terrestrial,Birds,Broad,0,1,0,0,0,Morphological,1,1,0,0,P,0,0
10.1186/s13071-016-1659-2,Y,0,1,0,0,0,0,Observational,Terrestrial,Insects,Alpine,0,0,0,1,1,Morphological,0,0,0,1,T,0,0
10.1186/s13071-015-1274-7,N,0,0,0,0,1,0,Q Model,Terrestrial,Mammals,Broad,0,0,0,1,0,Life History,0,0,0,0,,,
10.1111/j.1600-048X.2012.05576.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s10682-012-9562-6,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1365-2664.2010.01945.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1002/ecm.1297/full,Y,0,0,0,1,0,0,Metanalysis,Marine,Fish,Broad,1,0,1,1,1,"Physiological, Life History, Behavioural",1,0,0,0,F,1,Climate Change
10.1006/bulm.1999.0083,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1016/j.seares.2013.05.004,Y,0,1,0,0,0,0,Observational,Marine,Fish,Lagoon,0,1,0,1,0,"Morphological, Life History",1,0,1,0,E,0,0
10.1016/j.actao.2016.10.007,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Subtropocial Forest,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1007/s10750-015-2313-2,Y,0,1,0,0,0,0,Observational,Freshwater,Plankton,Lake,1,1,1,1,0,"Morphological, Physiological, Life History",1,0,0,0,E,0,0
10.1002/eap.1535/full,Y,0,1,0,0,0,0,Observational,Terrestrial,Mammals,Grassland,0,0,0,1,1,"Life History, Behavioural",1,0,0,0,E,0,Invasion
NA,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/1365-2435.13141,Y,0,1,0,0,0,0,Observational,Terrestrial,Multiple,Tropical Rainforest,0,1,0,1,1,"Morphological, Life History, Behavioural",1,0,0,1,T,0,0
unknown_3,Y,0,1,0,0,0,0,Observational,Marine,Broad,intertidal,0,0,0,0,1,Behavioural,0,0,0,1,T,0,0
10.1111/j.1365-2656.2011.01883.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s00442-016-3547-z,Y,0,0,0,0,1,0,Q Model,Terrestrial,Plants,Grassland,0,1,0,0,0,Morphological,0,0,1,0,E,0,0
10.1038/srep27087,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1086/690764,Y,0,0,0,0,1,0,Q Model,Broad,Plankton,Broad,1,1,1,1,0,"Morphological, Physiological, Life History",1,0,0,1,F,0,0
10.1111/1365-2745.12658,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Alpine,0,1,0,0,0,Morphological,1,0,1,0,E,0,0
10.1111/jvs.12031,Y,0,0,0,0,0,1,T Model,Terrestrial,Plants,Alpine,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1890/13-2153.1,Y,0,0,0,0,1,0,Q Model,Terrestrial,Plants,Alpine,0,1,0,0,0,Morphological,1,0,1,0,F,0,0
10.1002/ece3.615,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1002/ecy.2179,Y,0,0,0,0,1,0,Q Model,Terrestrial,Birds,Galapagos Islands,0,0,0,1,0,Life History,1,0,0,0,F,0,Climate Change
10.1371/journal.pone.0084774,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1073/pnas.1300643110,Y,0,1,0,0,0,0,Observational,Terrestrial,Other,Tundra,0,0,0,1,0,Life History,1,0,0,0,F,0,Climate Change
10.3389/fevo.2019.00025,Y,0,0,1,0,0,0,Experiment,Broad,Insects,Broad,0,1,0,1,1,"Morphological, Life History, Behavioural",0,0,0,1,T,0,0
10.1890/ES15-00118.1,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/ddi.12712,Y,0,1,0,0,0,0,Observational,Marine,Broad,Hydrothermal Vents,0,1,0,1,1,"Morphological, Life History, Behavioural",1,0,0,0,F,0,0
10.3390/f9010019,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Temperate Forest,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1890/15-0794.1,Y,0,1,0,0,0,0,Observational,Freshwater,Other,North-Temperate Ponds,0,1,0,1,0,"Morphological, Life History  ",1,0,0,0,F,0,Climate Change
10.1371/journal.pone.0025305,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1666/13024,Y,0,1,0,0,0,0,Observational,Marine,Other,Enclosed Sea,0,0,0,0,1,Behavioural,0,0,0,1,T,0,0
10.1186/1742-9994-7-3,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1371/journal.pone.0044374,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1038/s41598-017-13340-0,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/ecog.02010,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Broad,0,0,0,1,0,Life History,1,0,0,0,F,0,0
10.1111/geb.12636,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Broad,0,0,0,1,0,Life History,0,0,0,1,T,0,0
10.1002/ece3.3472,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1016/j.marpolbul.2007.10.019,Y,0,1,0,0,0,0,Observational,Marine,Broad,Hong Kong harbour,1,0,0,1,1,"Life History, Behavioural",1,0,0,1,T,0,0
10.1371/journal.pone.0041323,Y,0,0,1,0,0,0,Experiment,Terrestrial,Insects,Broad,0,1,0,0,1,"Morphological, Behavioural",0,1,0,0,P,0,0
10.2478/s11535-013-0155-8,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1365-3113.2008.00427.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/mec.14258,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1080/17550874.2017.1345997,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Broad,0,1,0,1,0,"Morphological, Behavioural",1,0,1,0,E,0,0
10.1007/s11629-017-4477-x,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,alpine,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1016/j.ecss.2015.05.023,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Sand Dunes,0,1,0,1,0,"Morphological, Life History",1,0,0,0,F,0,0
10.1098/rstb.2017.0101,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1086/689819,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/1365-2435.12786,y,0,1,0,0,0,0,Observational,Terrestrial,Insects,Alpine,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1111/j.1365-2745.2011.01860.x,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Broad,0,1,0,1,0,"Morphological, Life Hsitory",1,0,1,0,E,0,Invasion
10.1111/1462-2920.12281,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1163/15685381-00003131,Y,0,1,0,0,0,0,Observational,Terrestrial,Herps,Temperate Forest,0,1,0,0,1,"Morphological, Behavioural",1,0,0,1,F,0,0
NA,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1002/ecy.1802,Y,0,0,0,0,1,0,Q Model,Broad,Broad,Broad,0,0,0,0,1,Behavioural,1,0,0,1,F,0,0
10.1017/S1461145707007912, N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/mec.13162,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1086/656444,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1016/S0167-8809(01)00333-4,Y,0,1,0,0,0,0,Observational,Terrestrial,Insects,Grassland,0,1,0,1,1,"Morphological, Life History, Behavioural",1,0,0,0,F,0,0
10.1016/j.scitotenv.2015.06.099,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1467-2979.2011.00420.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1016/j.envsoft.2016.12.004,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
NA,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.2307/2410698,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
NA,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/1365-2745.12012,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Temperate Forest,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1007/s10530-015-1028-7,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1365-2664.2008.01566.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.3391/mbi.2016.7.4.04,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1890/ES10-00113.1,Y,0,0,1,0,0,0,Experiment,Terrestrial,Plants,Grassland,0,1,0,1,0,"Morphological, Life History",1,0,0,0,F,0,0
10.1093/aob/mcu113,Y,1,0,0,0,0,0,Review,Terrestrial,Plants,Broad,1,0,0,1,0,Life History,1,0,0,0,F,0,0
10.1111/j.1365-2745.2010.01662.x,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Broad,0,1,0,0,0,Morphological,0,0,1,0,E,0,0
10.1016/j.jmarsys.2015.03.006,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s10641-018-0796-1,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1086/687393,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1002/ecm.1304/full,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
NA,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1186/1471-2148-10-166,Y,0,1,0,0,0,0,Observational,Freshwater,Other,Lake,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1046/j.1420-9101.2003.00655.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1890/0012-9658(2000)081[0183:EOGCSO]2.0.CO;2,Y,0,0,1,0,0,0,Experiment,Freshwater,Plankton,Lake,0,1,0,0,0,Morphological,1,0,0,0,F,0,Habitat Degredation
10.1007/s12080-010-0095-8,Y,0,0,0,0,0,1,T Model,Terrestrial,Plants,Broad,0,0,0,1,0,Life History,0,0,1,0,E,0,0
10.1046/j.1365-2656.2000.00383.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/1365-2745.12633,Y,0,1,0,0,0,0,Observational,Terrestrial,Other,Oak Forest,1,1,1,0,0,"Morphological, Physiological",1,0,0,0,F,0,0
10.1016/j.gene.2012.10.065,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/ecog.00473,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Temperate Forest,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1186/s13742-016-0120-y,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/2041-210X.12471,Y,0,0,0,0,1,0,Q Model,Terrestrial,Multiple,Broad,0,1,0,1,1,"Morphological, Life Hisotry, Behavioural",0,0,0,1,T,0,0
NA,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/ele.12571,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1086/670010,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1365-2656.2010.01666.x,Y,0,0,1,0,0,0,Experiment,Terrestrial,Insects,Broad,1,0,0,1,1,"Life History, Behavioural",1,0,1,0,E,0,Invasion
10.3389/fpls.2016.01741,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1016/j.ecolind.2015.03.032,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.3390/f7100228,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Temperate Forest,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1111/1365-2435.12112,Y,0,1,0,0,0,0,Observational,Marine,Fish,Estuary,0,1,0,0,0,Morphological,1,0,0,1,T,0,0
10.1111/1365-2656.12892,Y,0,0,0,0,0,1,T Model,Terrestrial,Broad,Broad,0,1,0,0,0,Morphological,0,0,0,1,T,0,0
unknown_4,Y,0,0,0,0,0,1,T Model,Broad,Broad,Broad,0,1,0,0,0,Morphological,0,0,0,1,T,0,0
10.1371/journal.pone.0126112,Y,0,1,0,0,0,0,Observational,Terrestrial,Insects,Tropical Rainforest,0,1,0,1,1,"Morphological, Life History, Behavioural",0,1,0,0,P,0,0
10.1111/ddi.12785,Y,0,1,0,0,0,0,Observational,Terrestrial,Insects,Tropical Rainforest,0,1,0,0,1,"Morphological, Behavioural",1,0,0,0,F,0,0
10.1002/ecy.1915,Y,0,1,0,0,0,0,Observational,Terrestrial,Insects,Urban environment,0,0,0,0,1,Behavioural,1,0,0,0,F,0,0
10.1073/pnas.1215513110,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Grassland,0,1,0,0,0,Morphological,1,0,1,0,E,0,0
unknown_5,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Alpine,0,1,0,1,0,"Morphological, Life History",1,0,0,0,F,0,Habitat Degredation
10.1111/oik.00707,Y,0,1,0,0,0,0,Observational,Terrestrial,Mammals,Desert,0,1,0,1,1,"Morphological, Life History, Behavioural",0,0,0,1,T,0,0
10.1111/j.1365-2745.2010.01739.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1016/j.aquatox.2008.02.016,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1086/519966,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s10980-017-0591-y,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s00442-012-2431-8,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Grassland,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1111/1365-2435.12061,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1461-0248.2012.01861.x,Y,0,0,0,0,1,0,Q Model,Marine,Other,Coral Reef,0,1,0,1,0,"Morphological, Life History",1,0,1,0,F,0,Global Change Broad
10.1111/mec.13985,Y,0,1,0,0,1,0,Observational/Q Model,Terrestrial,Insects,Broad,0,1,0,0,0,Morphological,1,0,1,0,E,0,0
10.1093/beheco/arx036,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1098/rstb.2010.0130,Y,0,1,0,0,0,0,Observational,Terrestrial,Multiple,Broad,0,1,0,1,1,"Morphological, Life History, Behavioural",1,1,0,0,P,0,Climate Change
10.1111/1365-2664.12922,Y,0,1,0,0,0,0,Observational,Freshwater,Plants,Wetland,0,1,0,1,0,"Morphological, Life History",1,0,0,0,P,0,0
10.3390/insects10040103,Y,0,1,0,0,0,0,Observational,Terrestrial,Insects,Tropical Seasonal Forest,0,0,0,1,1,"Life History, Behavioural",1,0,1,0,F,0,0
10.1111/1365-2664.13134,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s12224-015-9228-6,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/2041-210X.12735,Y,0,0,0,0,0,1,T Model,Terrestrial,Plants,Broad,0,1,0,0,0,Morphological,1,0,1,0,F,0,0
10.1002/rra.687,Y,0,1,0,0,0,0,Observational,Freshwater,Fish,River,0,1,0,0,0,Morphological,1,0,0,1,F,0,0
10.1111/fwb.12961,Y,0,1,0,0,0,0,Observational,Freshwater,Insects,Stream,0,1,0,1,1,"Morphological, Life History, Behavioural",1,0,0,0,F,0,0
10.1016/j.tree.2016.09.007,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1371/journal.pone.0202403,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1038/srep31153,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/1365-2664.12524,Y,1,0,0,0,0,0,Review,Terrestrial,Insects,Broad,0,0,0,1,1,"Life History, Behavioural",1,0,0,0,F,0,Habitat Degredation
10.1016/j.apsoil.2008.01.007,Y,1,0,0,0,0,0,Review,Terrestrial,Other,Broad,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1111/1365-2656.12144,Y,0,0,0,0,1,0,Q Model,Terrestrial,Mammals,Boreal Forest,0,0,0,1,0,Life History,1,0,0,1,T,0,0
10.1139/cjfr-2017-0139,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Temperate Forest,0,1,0,0,0,Morphological,1,0,0,0,F,0,Climate Change
10.1111/ecog.00623,Y,0,1,0,0,0,0,Observational,Terrestrial,Birds,Alpine,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1098/rspb.2015.2444,Y,0,1,0,0,0,0,Observational,Terrestrial,Multiple,Tropical Rainforest,0,1,0,0,0,Morphological,0,0,0,1,T,0,0
10.1111/1365-2656.12081,Y,0,0,0,0,0,1,T Model,Broad,Broad,Broad,0,0,0,0,1,Behavioural,1,0,0,1,T,0,Climate Change
10.1073/pnas.1015178108,Y,1,0,0,0,0,0,Review,Broad,Broad,Broad,1,0,1,1,1,"Physiological, Life History, Behavioural",1,0,0,0,F,0,Climate Change
10.1007/s00227-010-1468-7,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/ddi.12790,Y,0,1,0,0,0,0,Observational,Terrestrial,Broad,Tropical Rainforest,0,1,0,1,1,"Morphological, Life History, Behavioural",1,0,1,0,F,0,0
10.1111/1365-2656.12173,Y,0,1,0,0,0,0,Obersational,Freshwater,Other,Grassland,0,0,0,1,0,Life History,1,0,0,0,F,0,0
10.1093/jee/tox243,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/ele.12529,Y,0,0,1,0,0,0,Experiment,Terrestrial,Multiple,Grassland,0,1,0,0,0,Morphological,0,0,0,1,T,0,0
10.1007/00285-003-0236-4,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/plb.12566,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Tropical Seasonal Forest,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1017/S1751731112001796,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1046/j.1440-1703.2001.00454.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1461-0248.2010.01493.x,Y,1,0,0,0,0,0,Review,Terrestrial,Birds,Broad,0,1,0,1,1,"Morphological, Life History, Behavioural",1,0,1,0,E,0,0
10.1016/S1385-1101(02)00220-4,Y,1,0,0,0,0,0,Review,Terrestrial,Other,Broad,0,1,0,0,1,"Morphological, Behavioural",0,0,0,1,T,0,0
10.1111/1365-2435.13142,Y,0,1,0,0,0,0,Observational,Terrestrial,Multiple,Tropical Rainforest,0,1,0,1,0,"Morphological, Life History",1,0,1,0,F,0,0
10.7717/peerj.4867,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s10530-013-0550-8,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1016/j.jtbi.2005.12.002,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1017/S0952836900002016,Y,0,1,0,0,0,0,Observational,Marine,Other,Intertidal,1,1,0,1,0,"Morphological, Life History",1,0,0,0,F,0,Invasion
10.1016/j.tree.2016.03.009,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1365-2656.2007.01284.x,Y,0,0,1,0,0,0,Experiment,Freshwater,Fish,Ponds,0,0,0,0,1,Behavioural,1,0,0,0,F,0,0
10.1016/j.anbehav.2009.11.024,Y,0,0,1,0,0,0,Experiment,Freshwater,Fish,Ponds,0,0,0,0,1,Behavioural,1,0,0,1,F,0,0
10.1098/rsos.170633,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1365-2427.1994.tb01755.x,Y,0,1,0,0,0,0,Observational,Freshwater,Broad,River,0,1,0,1,1,"Morphological, Life History, Behavioural",1,0,0,0,F,0,0
10.1111/fwb.12554,Y,0,1,0,0,0,0,Observational,Freshwater,Multiple,River,1,0,0,1,1,,1,0,1,0,E,0,0
10.1080/02664760120108845,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1063/1.4953163,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/oik.02100,Y,0,1,0,0,0,0,Observational,Marine,Broad,Intertidal,0,1,0,1,1,"Morphological, Life History, Behavioural",1,0,1,0,F,0,0
10.1371/journal.pone.0007460,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
NA,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s10531-017-1459-9,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/geb.12759,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s13744-013-0183-8,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s00360-008-0312-6,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1890/10-1961.1,Y,0,0,0,0,1,0,Q Model,Terrestrial,Plants,Broad,0,1,0,1,0,"Morphological, Life History",1,0,0,0,F,0,0
10.1111/j.1365-2745.2011.01932.x,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Broad,0,1,0,1,0,"Morphological, Life History",1,0,1,0,F,0,0
10.1890/13-0196.1,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1890/11-1183.1,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1371/journal.pone.0130571,Y,0,0,1,0,0,0,Experiment,Terrestrial,Other,Tropical Rainforest,0,1,0,0,0,Morphological,0,0,0,1,T,0,0
10.1371/journal.pone.0186123,Y,0,0,0,0,1,0,Q Model,Marine,Fish,Coral Reef,0,1,0,1,1,"Morphological, Life History, Behavioural",1,1,0,0,F,0,0
10.1186/s12862-017-0970-7,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1093/sysbio/syw020,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1093/sysbio/syx079,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1002/ece3.3613,Y,0,1,0,0,0,0,Observational,Terrestrial,Mammals,Alpine,0,1,0,0,1,"Morphological, Behavioural",1,0,0,0,F,0,0
10.1007/s00265-014-1831-7,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1600-0587.2013.00237.x,Y,0,0,0,0,1,0,Q Model,Terrestrial,Plants,Alpine,0,1,0,0,0,Morphological,1,0,0,0,F,1,Climate Change
10.1128/mSphere.00387-16,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1654-1103.2012.01428.x,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Alpine,0,1,0,1,0,"Morphological, Life History",1,0,0,0,F,0,0
10.1016/j.ecolind.2016.02.060,Y,0,1,0,0,0,0,Observational,Freshwater,Plants,River,0,1,0,1,0,"Morphological, Life Hisotry  ",1,0,0,0,F,0,0
10.1371/journal.pbio.1001579,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/gfs.12129,Y,1,0,0,0,0,0,Review,Terrestrial,Plants,Grassland,0,1,0,1,0,"Morphological, Life History",1,0,0,0,F,0,0
10.3390/f9110722,Y,0,0,0,0,1,0,Q Model,Terrestrial,Plants,Tropical Seasonal Forest,0,1,0,0,0,Morphological,1,0,0,0,F,1,Global Change Multiple
10.1111/evo.13005,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1461-0248.2011.01681.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1558-5646.2009.00741.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1016/j.baae.2017.09.014,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/eff.12333,Y,0,0,0,0,1,0,Q Model,Freshwater,Fish,Lake,0,1,0,1,1,"Morphological, Life History, Behavioural",1,0,0,0,F,0,0
10.3389/fevo.2018.00219,Y,1,0,0,0,0,0,Review,Broad,Plants,Broad,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1371/journal.pone.0107525,Y,0,0,0,0,0,1,T Model,Marine,Other,Coral Reef,1,0,0,1,0,Life History,1,0,0,0,F,1,Climate Change
10.3389/fmars.2019.00087,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1186/s13071-017-2590-x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.3897/rio.5.e34564,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/mec.14872,Y,0,0,0,0,1,0,Q Model,Terrestrial,Insects,Alpine,0,1,0,0,1,"Morphological, Behavioural",1,0,0,1,T,0,0
10.1111/oik.04885,Y,0,1,0,0,0,0,Observational,Terrestrial,Insects,Temperate Forest,0,1,0,0,0,Morphological,0,0,0,1,T,0,0
10.1098/rspb.2011.2149,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
