Original_trait,Trait_spell_corrected,Context_needed,Primary_classification,Secondary_classification,Tertiary_classification,Revised_major_class,Revised_fine_class,4th_class,Revision_addressed,Revision_suggested,NOTES,Reviewed
respiration mode,respiration mode,0,resource acquisition,respiration,,respiration,respiration mode,,,,,NH
respiration rate,respiration rate,0,resource acquisition,respiration,,respiration,respiration rate,,,,,NH
respiration type,respiration type,0,resource acquisition,respiration,,respiration,respiration type,,,,,NH
air breathers,air breathers,0,morphology,respiratory system,,respiratory system,air breathers,,,,,NH
air sacs,air sacs,0,morphology,respiratory system,,respiratory system,air sacs,,,,,NH
rhizome,rhizome,0,morphology,rhizome,,rhizome,rhizome,,,,,NH
rhizome type,rhizome type,0,morphology,rhizome,,rhizome,rhizome type,,,,,NH
tuber,tuber,0,morphology,root trait,,root trait,tuber,,,,,NH
rostrum,rostrum,0,morphology,rostrum,,rostrum,rostrum,,,,,NH
rostrum length,rostrum length,0,morphology,rostrum,,rostrum,rostrum length,,,,,NH
and ability to enter brackish waters,ability to enter brackish waters,0,resource acquisition,salinity tolerance,,salinity tolerance,and ability to enter brackish waters,,,,,NH
ellenberg's value for salt tolerance,ellenberg's value for salt tolerance,0,resource acquisition,salinity tolerance,,salinity tolerance,ellenberg's value for salt tolerance,,,,,NH
salinity,salinity,0,resource acquisition,salinity tolerance,,salinity tolerance,salinity,,,,,NH
salinity tolerance,salinity tolerance,0,resource acquisition,salinity tolerance,,salinity tolerance,salinity tolerance,,1,see below,"typo, combine",NH
salinity tolerane,salinity tolerane,0,resource acquisition,salinity tolerance,,salinity tolerance,salinity tolerane,,1,salinity tolerance,"typo, combine",NH
salt tolerance,salt tolerance,0,resource acquisition,salinity tolerance,,salinity tolerance,salt tolerance,,,,,NH
tidal emersion/low salinity tolerance,tidal emersion/low salinity tolerance,0,resource acquisition,salinity tolerance,,salinity tolerance,tidal emersion/low salinity tolerance,,,,,NH
floral fragrance,floral fragrance,0,morphology,scent,,scent,floral fragrance,,,,,NH
floral scent,floral scent,0,morphology,scent,,scent,floral scent,,,,,NH
floral scent bouquet,floral scent bouquet,0,morphology,scent,,scent,floral scent bouquet,,,,,NH
ordour,ordour,0,morphology,scent,,scent,ordour,,,,,NH
scent emission per plant per hour,scent emission per plant per hour,0,morphology,scent,,scent,scent emission per plant per hour,,,,,NH
probing,probing,0,resource acquisition,search,,search,probing,,,,,NH
search rate,search rate,0,resource acquisition,search,,search,search rate,,,,,NH
searching efficiency,searching efficiency,0,resource acquisition,search,,search,searching efficiency,,,,,NH
duration of flight season,duration of flight season,0,activity,seasonality,,seasonality,duration of flight season,,,,,CB
growing season,growing season,0,activity,seasonality,,seasonality,growing season,,,,,CB
main activity season,main activity season,0,activity,seasonality,,seasonality,main activity season,,,,,CB
number of months active by year,number of months active by year,0,activity,seasonality,,seasonality,number of months active by year,,,,,CB
seasonal activity,seasonal activity,0,activity,seasonality,,seasonality,seasonal activity,,,,,CB
seasonal leaf shedding,seasonal leaf shedding,0,growth,seasonality,,seasonality,seasonal leaf shedding,,,,,CB
senescence,senescence,0,life history,senescence,,senescence,senescence,,,,,CB
echolocation,echolocation,0,morphology,sensing,echolocation,echolocation,echolocation,,,,,NH
peak echolocation frequency,peak echolocation frequency,0,morphology,sensing,echolocation,echolocation,echolocation,,,,,NH
cibrissae,cibrissae,0,morphology,sensing,,sensing,cibrissae,,1,sensing,secondary,NH
detection distance,detection distance,0,morphology,sensing,,sensing,detection distance,,,,,NH
ear length,ear length,0,morphology,sensing,,sensing,ear length,,,,,NH
myelination,myelination,0,morphology,sensing,,sensing,myelination,,,,,NH
perceptual range,perceptual range,0,morphology,sensing,,sensing,perceptual range,,,,,NH
presence of barbel near mouth,presence of barbel near mouth,0,morphology,sensing,,sensing,presence of barbel near mouth,,,,,NH
quantity of longitudinal cuticle furrows,quantity of longitudinal cuticle furrows,0,morphology,sensing,,sensing,quantity of longitudinal cuticle furrows,,1,NH: sensory for inverts?,,NH
sense-related organs,sense-related organs,0,morphology,sensing,,sensing,sense-related organs,,,,,NH
sensory organ,sensory organ,0,morphology,sensing,,sensing,sensory organ,,,,,NH
distribution of black setae on the abdominal sternites,distribution of black setae on the abdominal sternites,0,morphology,setae,,setae,distribution of black setae on the abdominal sternites,,,,,NH
dorsovental position of setae,dorsovental position of setae,0,morphology,setae,,setae,dorsovental position of setae,,,,,NH
number of black setae on every side of the pronotum,number of black setae on every side of the pronotum,0,morphology,setae,,setae,number of black setae on every side of the pronotum,,,,,NH
presence of black setae on the abdominal sternites,presence of black setae on the abdominal sternites,0,morphology,setae,,setae,presence of black setae on the abdominal sternites,,,,,NH
dicliny,dicliny,0,life history,sex,sex,sex,sex,,,,,CB
cosexual,cosexual,0,life history,sex,,sex,cosexual,,,,,CB
dioecious,dioecious,0,life history,sex,,sex,dioecious,,,,,CB
hermaphroditism,hermaphroditism,0,life history,sex,,sex,hermaphroditism,,,,,CB
heterodiaspory,heterodiaspory,0,life history,sex,,sex,heterodiaspory,,,,,CB
sex,sex,0,life history,sex,,sex,sex,,,,,CB
sex ratio,sex ratio,0,life history,sex,,sex,sex ratio,,,,,CB
sexual system,sexual system,0,life history,sex,,sex,sexual system,,,,,CB
reversed sexual dimorphism,reversed sexual dimorphism,0,life history,sexual dimorphism,,sexual dimorphism,reversed sexual dimorphism,,,,,CB
sexual chromatism,sexual chromatism,0,life history,sexual dimorphism,,sexual dimorphism,sexual chromatism,,,,,CB
sexual dimorphism,sexual dimorphism,0,life history,sexual dimorphism,,sexual dimorphism,sexual dimorphism,,,,,CB
sexual size dimorphism,sexual size dimorphism,0,morphology,sexual dimorphism,,sexual dimorphism,sexual size dimorphism,,,,,NH
size dimorophism,size dimorphism,0,morphology,sexual dimorphism,,sexual dimorphism,size dimorphism,,,,,NH
relative depth,relative depth,1,morphology,shape,,shape,relative depth,,,,,CB
pectoral fin aspect ratio,pectoral fin aspect ratio,0,morphology,shape,fin,fin,fin,,,,,NH
pectoral fin height,pectoral fin height,0,morphology,shape,fin,fin,fin,,,,,NH
pectoral fin length,pectoral fin length,0,morphology,shape,fin,fin,fin,,,,,NH
pectoral fin position,pectoral fin position,0,morphology,shape,fin,fin,fin,,,,,NH
pectoral fin shape,pectoral fin shape,0,morphology,shape,fin,fin,fin,,,,,NH
pelvic fin length,pelvic fin length,0,morphology,shape,fin,fin,fin,,,,,NH
pelvic fin position,pelvic fin position,0,morphology,shape,fin,fin,fin,,,,,NH
caudal fin aspect ratio,caudal fin aspect ratio,0,morphology,shape,fin,fin,fin,,,,,NH
caudal fin depth,caudal fin depth,0,morphology,shape,fin,fin,fin,,,,,NH
caudal fin length,caudal fin length,0,morphology,shape,fin,fin,fin,,,,,NH
caudal fin shape,caudal fin shape,0,morphology,shape,fin,fin,fin,,,,,NH
caudal peducle dpeth,caudal peduncle depth,0,morphology,shape,fin,fin,fin,,1,NH: typo,,NH
caudal peduncle depth,caudal peduncle depth,0,morphology,shape,fin,fin,fin,,1,NH: typo,,NH
caudal peduncle length,caudal peduncle length,0,morphology,shape,fin,fin,fin,,,,,NH
caudal peduncle throttling,caudal peduncle throttling,0,morphology,shape,fin,fin,fin,,,,,NH
caudal peduncle width,caudal peduncle width,0,morphology,shape,fin,fin,fin,,1,NH: repeat,,NH
caudal penuncle width,caudal peduncle width,0,morphology,shape,fin,fin,fin,,1,NH: repeat,,NH
cuadal fin aspect ratio,caudal fin aspect ratio,0,morphology,shape,fin,fin,fin,,1,NH: typo,,NH
distance from nares to snout,distance from nares to snout,0,morphology,shape,fin,fin,fin,,,,,NH
dorsal fin height,dorsal fin height,0,morphology,shape,fin,fin,fin,,,,,NH
dorsal fin length,dorsal fin length,0,morphology,shape,fin,fin,fin,,,,,NH
dorsal fin shape,dorsal fin shape,0,morphology,shape,fin,fin,fin,,,,,NH
aspect ratio of caudal fin,aspect ratio of caudal fin,0,morphology,shape,fin,fin,fin,,1,shape,secondary,NH
height of ventral fin,height of ventral fin,0,morphology,shape,fin,fin,fin,,1,fin,secondary,NH
beam circumference,beam circumference,0,morphology,shape,size,size,size,,1,shape/size,secondary,NH
beam length,beam length,0,morphology,shape,size,size,size,,1,shape/size,secondary,NH
body volume,body volume,0,morphology,shape,size,size,size,,1,shape/size,secondary,NH
DGH,DGH,1,morphology,shape,size,size,size,,1,NH?,CB: Diameter at Ground Height,NH
angle of mouth in realtion to lateral line,angle of mouth in relation to lateral line,0,morphology,shape,,shape,angle of mouth in relation to lateral line,,,,,NH
ant length,ant length,0,morphology,shape,,shape,ant length,,1,shape,secondary,NH
antennal to body length ratio,antennal to body length ratio,0,morphology,shape,,shape,antennal to body length ratio,,,,,NH
area of cauline leaf,area of cauline leaf,0,morphology,shape,,shape,area of cauline leaf,,1,shape,,NH
aspect ratio,aspect ratio,0,morphology,shape,,shape,aspect ratio,,,,,NH
average and max diameters of 100 xylem vessels,average and max diameters of 100 xylem vessels,0,morphology,shape,,shape,average and max diameters of 100 xylem vessels,,1,shape,secondary,NH
average body breadth,average body breadth,0,morphology,shape,,shape,average body breadth,,1,"NH: arguably, redundant breadth/width",,NH
average body width,average body width,0,morphology,shape,,shape,average body width,,1,"NH: arguably, redundant breadth/width",,NH
basal area,basal area,0,morphology,shape,,shape,basal area,,1,shape,secondary,NH
basal plate structural overlap,basal plate structural overlap,0,morphology,shape,,shape,basal plate structural overlap,,1,shape,secondary,NH
beak shape,beak shape,0,morphology,shape,,shape,beak shape,,,,,NH
body compression index,body compression index,0,morphology,shape,,shape,body compression index,,,,,NH
body depth,body depth,0,morphology,shape,,shape,body depth,,,,,NH
body depth at the level of the pectoral fin insertion,body depth at the level of the pectoral fin insertion,0,morphology,shape,,shape,body depth at the level of the pectoral fin insertion,,,,,NH
body depth below midline,body depth below midline,0,morphology,shape,,shape,body depth below midline,,,,,NH
body depth/width ratio,body depth/width ratio,0,morphology,shape,,shape,body depth/width ratio,,,,,NH
body form,body form,0,morphology,shape,,shape,body form,,1,shape,secondary,NH
body section area,body section area,0,morphology,shape,,shape,body section area,,,,,NH
body section shape,body section shape,0,morphology,shape,,shape,body section shape,,,,,NH
body shape,body shape,0,morphology,shape,,shape,body shape,,,,,NH
body transversal surface,body transversal surface,0,morphology,shape,,shape,body transversal surface,,,,,NH
body transverse shape,body transverse shape,0,morphology,shape,,shape,body transverse shape,,,,,NH
body width,body width,0,morphology,shape,,shape,body width,,,,,NH
branching type,branching type,0,morphology,shape,,shape,branching type,,1,shape,secondary,NH
broad-leaf,broad-leaf,0,morphology,shape,,shape,broad-leaf,,1,shape,secondary,NH
cell shape,cell shape,0,morphology,shape,,shape,cell shape,,,,,NH
compression index,compression index,0,morphology,shape,,shape,compression index,,,,,NH
corallite diameter,corallite diameter,0,morphology,shape,,shape,corallite diameter,,1,NH: secondary --> shape,,NH
curvature,curvature,0,morphology,shape,,shape,curvature,,,,,NH
degree of flattening of the posterior body,degree of flattening of the posterior body,0,morphology,shape,,shape,degree of flattening of the posterior body,,,,,NH
distance between the bottom of the head and the eye center along the head depth axis,distance between the bottom of the head and the eye center along the head depth axis,0,morphology,shape,,shape,distance between the bottom of the head and the eye center along the head depth axis,,,,,NH
distance between the insertion of pectoral fin and the bottom of the body,distance between the insertion of pectoral fin and the bottom of the body,0,morphology,shape,,shape,distance between the insertion of pectoral fin and the bottom of the body,,,,,NH
distance bottom of head-mouth,distance bottom of head-mouth,0,morphology,shape,,shape,distance bottom of head-mouth,,,,,NH
form of growth,form of growth,0,morphology,shape,,shape,form of growth,,,,,NH
forms a three dimensional structure,forms a three dimensional structure,0,morphology,shape,,shape,forms a three dimensional structure,,,,,NH
index of ventral flattening,index of ventral flattening,0,morphology,shape,,shape,index of ventral flattening,,,,,NH
laminar surface area,laminar surface area,1,morphology,shape,,shape,laminar surface area,,1,,CB: laminar is related to lamina (leaf),NH
lateralization during display,lateralization during display,1,morphology,shape,,shape,lateralization during display,,1,,"CB: a generalized measure of how good a leaf is at doing it's various 'jobs', photosynthesis, etc.",CB
longest body depth,longest body depth,0,morphology,shape,,shape,longest body depth,,,,,NH
SA:V,SA:V,1,morphology,shape,,shape,SA:V,,1,,CB: surface area: volume,NH
shape,shape,0,morphology,shape,,shape,shape,,,,,NH
shape factor,shape factor,0,morphology,shape,,shape,shape factor,,,,,NH
slenderness,slenderness,0,morphology,shape,,shape,slenderness,,,,,NH
slope of the power regression between tree height and diameter,slope of the power regression between tree height and diameter,1,morphology,shape,,shape,slope of the power regression between tree height and diameter,,1,,CB: measure of tree shape,NH
solitary vessel outline,solitary vessel outline,1,morphology,shape,,shape,solitary vessel outline,,1,,CB: leaf vessel outline angular or not,NH
trunk slenderness,trunk slenderness,0,morphology,shape,,shape,trunk slenderness,,,,,NH
plastron length,plastron length,1,morphology,shell traits,,shell traits,plastron length,,1,,CB: plastron is part of turtle shell,NH
shell aspect ratio,shell aspect ratio,0,morphology,shell traits,,shell traits,shell aspect ratio,,,,,NH
shell compression,shell compression,0,morphology,shell traits,,shell traits,shell compression,,,,,NH
shell constitution,shell constitution,0,morphology,shell traits,,shell traits,shell constitution,,,,,NH
shell ornamentation,shell ornamentation,0,morphology,shell traits,,shell traits,shell ornamentation,,,,,NH
shell shape,shell shape,0,morphology,shell traits,,shell traits,shell shape,,,,,NH
shell strength,shell strength,0,morphology,shell traits,,shell traits,shell strength,,,,,NH
use of silica in cell walls,use of silica in cell walls,0,composition,silica,defense,defense,defense,,,,,CB
Si%,Si%,0,composition,silica,,silica,Si%,,,,,CB
silica requirements,silica requirements,0,composition,silica,,silica,silica requirements,,,,,CB
silicum content,silicum content,0,composition,silica,,silica,silicum content,,,,,CB
absence of silica demand,absence of silica demand,0,resource acquisition,silica requirement,,silica requirement,absence of silica demand,,1,"suggesting combine with above, redundant","redundant, combine'",NH
presence of silica demand,presence of silica demand,0,resource acquisition,silica requirement,,silica requirement,presence of silica demand,,1,suggesting combine with below,"redundant, combine'",NH
demand for silica,demand for silica,0,resource acquisition,silica requirement,,silica requirement,demand for silica,,,,,NH
thorax length,thorax length,0,morphology,size,shape,shape,shape,,1,shape/size,secondary,NH
max shell size,max shell size,0,morphology,size,shell traits,shell traits,shell traits,,,,,NH
maximal shell size,maximal shell size,0,morphology,size,shell traits,shell traits,shell traits,,,,,NH
snout-to-vent length,snout-to-vent length,0,morphology,size,snout-vent length,snout-vent length,snout-vent length,,1,NH: repeat,,NH
snout-vent length,snout-vent length,0,morphology,size,snout-vent length,snout-vent length,snout-vent length,,1,NH: repeat,,NH
snout–vent length,snout-vent length,0,morphology,size,snout-vent length,snout-vent length,snout-vent length,,1,NH: repeat,,NH
snout vent length,snout vent length,1,morphology,size,snout-vent length,snout-vent length,snout-vent length,,1,NH: respiration = functional to organism,,NH
veg height,veg height,0,morphology,size,vegetative height,vegetative height,vegetative height,,1,"NH: repeat ""vegetative height""",,NH
veg plant height,veg plant height,0,morphology,size,vegetative height,vegetative height,vegetative height,,1,NH: how is this different from above or below,,NH
vegetative height,vegetative height,0,morphology,size,vegetative height,vegetative height,vegetative height,,1,"NH: repeat ""veg height""",,NH
adult body length,adult body length,0,morphology,size,,size,adult body length,,,,,NH
adult body size,adult body size,0,morphology,size,,size,adult body size,,,,,NH
adult mass,adult mass,0,morphology,size,,size,adult mass,,,,,NH
adult size,adult size,0,morphology,size,,size,adult size,,,,,NH
average body length,average body length,0,morphology,size,,size,average body length,,,,,NH
average body size of females,average body size of females,0,morphology,size,,size,average body size of females,,,,,NH
B weight,B weight,0,morphology,size,,size,B weight,,,,,NH
biovolume,biovolume,0,morphology,size,,size,biovolume,,,,,NH
body length,body length,0,morphology,size,,size,body length,,1,NH: repeat length/lengths,,NH
body lengths,body lengths,0,morphology,size,,size,body lengths,,1,NH: repeat length/lengths,,NH
body mass,body mass,0,morphology,size,,size,body mass,,,,,NH
body size,body size,0,morphology,size,,size,body size,,,,,NH
Body standard length,body standard length,0,morphology,size,,size,Body standard length,,,,,NH
body weight,body weight,0,morphology,size,,size,body weight,,,,,NH
body zie,body size,0,morphology,size,,size,body size,,,,,NH
carapace length,carapace length,0,morphology,size,,size,carapace length,,,,,NH
cell size,cell size,0,morphology,size,,size,cell size,,,,,NH
cross-sectional diameter,cross-sectional diameter,0,morphology,size,,size,cross-sectional diameter,,,,,NH
crown area,crown area,0,morphology,size,,size,crown area,,,,,NH
crown cover,crown cover,0,morphology,size,,size,crown cover,,,,,NH
crown length,crown length,0,morphology,size,,size,crown length,,,,,NH
crown plasticity,crown plasticity,0,morphology,size,,size,crown plasticity,,,,,NH
crown radius,crown radius,0,morphology,size,,size,crown radius,,,,,NH
crown width,crown width,0,morphology,size,,size,crown width,,,,,NH
crown witdth,crown width,0,morphology,size,,size,crown width,,1,"NH: typo ""witdth"" --> ""width""",,NH
DBH,DBH,0,morphology,size,,size,DBH,,,,,NH
diameter,diameter,0,morphology,size,,size,diameter,,,,,NH
diameter at breast height,diameter at breast height,0,morphology,size,,size,diameter at breast height,,,,,NH
dry mass,dry mass,0,morphology,size,,size,dry mass,,,,,NH
female body mass,female body mass,0,morphology,size,,size,female body mass,,,,,NH
femur length,femur length,0,morphology,size,,size,femur length,,,,,NH
femur width,femur width,0,morphology,size,,size,femur width,,,,,NH
fish length,fish length,0,morphology,size,,size,fish length,,,,,NH
fork length,fork length,0,morphology,size,,size,fork length,,,,,NH
fresh leaf mass,fresh leaf mass,0,morphology,size,,size,fresh leaf mass,,,,,NH
girth at breast height,girth at breast height,0,morphology,size,,size,girth at breast height,,,,,NH
grass height,grass height,1,morphology,size,,size,grass height,,1,NH: this seems to be a mix of a habitat complexity metric and a morphological trait,"CB: if it is a grass, what's it's height",NH
greatest length of skull,greatest length of skull,0,morphology,size,,size,greatest length of skull,,,,,NH
head and body length,head and body length,0,morphology,size,,size,head and body length,,,,,NH
height,height,0,morphology,size,,size,height,,,,,NH
height plasticity,height plasticity,0,morphology,size,,size,height plasticity,,1,size/shape,secondary,NH
height to crown base,height to crown base,0,morphology,size,,size,height to crown base,,1,NH: secondary --> size,,NH
individual volume,individual volume,0,morphology,size,,size,individual volume,,,,,NH
instar size,instar size,0,morphology,size,,size,instar size,,,,,NH
length,length,0,morphology,size,,size,length,,,,,NH
length at widest point,length at widest point,0,morphology,size,,size,length at widest point,,,,,NH
mass,mass,0,morphology,size,,size,mass,,,,,NH
mass allometry,mass allometry,0,morphology,size,,size,mass allometry,,,,,NH
mature plant height,mature plant height,0,morphology,size,,size,mature plant height,,,,,NH
max adult size,max adult size,0,morphology,size,,size,max adult size,,,,,NH
max body length,max body length,0,morphology,size,,size,max body length,,,,,NH
max body mass,max body mass,0,morphology,size,,size,max body mass,,,,,NH
max body size,max body size,0,morphology,size,,size,max body size,,,,,NH
max body width,max body width,0,morphology,size,,size,max body width,,,,,NH
max canopy height,max canopy height,0,morphology,size,,size,max canopy height,,,,,NH
max cone length,max cone length,0,morphology,size,,size,max cone length,,,,,NH
max DBH,max DBH,0,morphology,size,,size,max DBH,,,,,NH
max diameter,max diameter,0,morphology,size,,size,max diameter,,,,,NH
max height,max height,0,morphology,size,,size,max height,,,,,NH
max length,max length,0,morphology,size,,size,max length,,,,,NH
max linear dimension,max linear dimension,0,morphology,size,,size,max linear dimension,,,,,NH
max linear dimension for surface,max linear dimension for surface,0,morphology,size,,size,max linear dimension for surface,,,,,NH
max linear dimension for volume,max linear dimension for volume,0,morphology,size,,size,max linear dimension for volume,,,,,NH
max plant height,max plant height,0,morphology,size,,size,max plant height,,,,,NH
max recorded body size,max recorded body size,0,morphology,size,,size,max recorded body size,,,,,NH
max recorded length,max recorded length,0,morphology,size,,size,max recorded length,,,,,NH
max species height,max species height,0,morphology,size,,size,max species height,,,,,NH
max stem height,max stem height,0,morphology,size,,size,max stem height,,,,,NH
max total body length,max total body length,0,morphology,size,,size,max total body length,,,,,NH
max total length,max total length,0,morphology,size,,size,max total length,,,,,NH
max tree height,max tree height,0,morphology,size,,size,max tree height,,,,,NH
max veg meight,max veg height,0,morphology,size,,size,max veg height,,,,,NH
max vegetative height,max vegetative height,0,morphology,size,,size,max vegetative height,,,,,NH
max weed height,max weed height,0,morphology,size,,size,max weed height,,,,,NH
max weight,max weight,0,morphology,size,,size,max weight,,,,,NH
max width,max width,0,morphology,size,,size,max width,,,,,NH
maximal body length,maximal body length,0,morphology,size,,size,maximal body length,,,,,NH
maximum body mass,maximum body mass,0,morphology,size,,size,maximum body mass,,,,,NH
maximum canopy height,maximum canopy height,0,morphology,size,,size,maximum canopy height,,,,,NH
maximum projected tree crown area,maximum projected tree crown area,0,morphology,size,,size,maximum projected tree crown area,,,,,NH
maximum standard length,maximum standard length,0,morphology,size,,size,maximum standard length,,,,,NH
maximum tree height,maximum tree height,0,morphology,size,,size,maximum tree height,,,,,NH
mean adult body mass,mean adult body mass,0,morphology,size,,size,mean adult body mass,,,,,NH
mean bill size,mean bill size,0,morphology,size,,size,mean bill size,,,,,NH
mean body length,mean body length,0,morphology,size,,size,mean body length,,,,,NH
mean body mass,mean body mass,0,morphology,size,,size,mean body mass,,,,,NH
mean female body mass,mean female body mass,0,morphology,size,,size,mean female body mass,,,,,NH
min height,min height,0,morphology,size,,size,min height,,1,"NH: ""min height"" and ""minimum height"" repeat",,NH
minimum height,minimum height,0,morphology,size,,size,minimum height,,1,"NH: ""min height"" and ""minimum height"" repeat",,NH
plant height,plant height,0,morphology,size,,size,plant height,,,,,NH
plant maximum meight at maturity,plant maximum height at maturity,0,morphology,size,,size,plant maximum height at maturity,,,,,NH
plant size,plant size,0,morphology,size,,size,plant size,,,,,NH
plant vegetative height,plant vegetative height,0,morphology,size,,size,plant vegetative height,,,,,NH
plant width,plant width,0,morphology,size,,size,plant width,,,,,NH
postorbital length,postorbital length,0,morphology,size,,size,postorbital length,,,,,NH
potential height,potential height,0,morphology,size,,size,potential height,,1,"NH: arguably a repeat of ""plant height""",,NH
potential plant height,potential plant height,0,morphology,size,,size,potential plant height,,1,NH: see above,,NH
potential size,potential size,0,morphology,size,,size,potential size,,,,,NH
radius,radius,0,morphology,size,,size,radius,,,,,NH
relative body size,relative body size,0,morphology,size,,size,relative body size,,,,,NH
repro plant height,repro plant height,0,morphology,size,,size,repro plant height,,,,,NH
shell size,shell size,0,morphology,size,,size,shell size,,,,,NH
size,size,0,morphology,size,,size,size,,,,,NH
size class,size class,0,morphology,size,,size,size class,,,,,NH
small size,small size,0,morphology,size,,size,small size,,1,1,primary 'morphology',CB
somatic wet mass of viscera,somatic wet mass of viscera,0,morphology,size,,size,somatic wet mass of viscera,,1,NH: body size / weight,,NH
standard length,standard length,0,morphology,size,,size,standard length,,,,,NH
standing height,standing height,0,morphology,size,,size,standing height,,,,,NH
stem diameter,stem diameter,0,morphology,size,,size,stem diameter,,,,,NH
stem dimension,stem dimension,0,morphology,size,,size,stem dimension,,,,,NH
stretched height,stretched height,0,morphology,size,,size,stretched height,,,,,NH
stump diameter,stump diameter,0,morphology,size,,size,stump diameter,,,,,NH
total body mass,total body mass,0,morphology,size,,size,total body mass,,,,,NH
total height,total height,0,morphology,size,,size,total height,,,,,NH
total length,total length,0,morphology,size,,size,total length,,,,,NH
tree height,tree height,0,morphology,size,,size,tree height,,,,,NH
tree size,tree size,0,morphology,size,,size,tree size,,,,,NH
trunk max height,trunk max height,0,morphology,size,,size,trunk max height,,,,,NH
typical maximum canopy height,typical maximum canopy height,0,morphology,size,,size,typical maximum canopy height,,,,,NH
volume,volume,0,morphology,size,,size,volume,,,,,NH
width,width,0,morphology,size,,size,width,,,,,NH
width at the widest point,width at the widest point,0,morphology,size,,size,width at the widest point,,,,,NH
worker body size,worker body size,0,morphology,size,,size,worker body size,,,,,NH
worker size,worker size,0,morphology,size,,size,worker size,,,,,NH
sleep behaviour,sleep behaviour,0,activity,sleep,,sleep,sleep behaviour,,,,,CB
snout,snout,0,morphology,snout,,snout,snout,,,,,NH
snout angle,snout angle,0,morphology,snout,,snout,snout angle,,,,,NH
snout length,snout length,0,morphology,snout,,snout,snout length,,,,,NH
snout length closed,snout length closed,0,morphology,snout,,snout,snout length closed,,,,,NH
snout length eye position,snout length eye position,0,morphology,snout,,snout,snout length eye position,,,,,NH
snout length open,snout length open,0,morphology,snout,,snout,snout length open,,,,,NH
root conentrations of Na,root concentrations of Na,0,composition,sodium,,sodium,root concentrations of Na,,,,,CB
Soil moisture,Soil moisture,0,habitat,soil traits,dessication tolerance,dessication tolerance,desiccation tolerance,,,,,CB
soil pH,soil pH,0,habitat,soil traits,pH tolerance,pH tolerance,pH tolerance,,,,,CB
humicolous,humicolous,0,habitat,soil traits,,soil traits,humicolous,,,,,CB
soil aeration,soil aeration,0,habitat,soil traits,,soil traits,soil aeration,,,,,CB
soil depth for emergence,soil depth for emergence,0,habitat,soil traits,,soil traits,soil depth for emergence,,,,,CB
soil humus,soil humus,0,habitat,soil traits,,soil traits,soil humus,,,,,CB
soil layer,soil layer,0,habitat,soil traits,,soil traits,soil layer,,,,,CB
soil proteins,soil proteins,0,habitat,soil traits,,soil traits,soil proteins,,,,,CB
relative spriacle size,relative spiracle size,0,morphology,spiracle,,spiracle,relative spiracle size,,,,,NH
stable isotope,stable isotope,0,composition,stable isotope,,stable isotope,stable isotope,,,,,CB
stable isotopes,stable isotopes,0,composition,stable isotope,,stable isotope,stable isotopes,,,,,CB
timing of life stage,timing of life stage,0,life history,stage,,stage,timing of life stage,,,,,CB
stomach diameter,stomach diameter,0,morphology,stomach size,,stomach size,stomach diameter,,,,,NH
stomach length,stomach length,0,morphology,stomach size,,stomach size,stomach length,,,,,NH
aerotopes,aerotopes,0,morphology,storage,aerotope,aerotope,aerotope,,1,"NH: looks like ""aerotype"" is a typo for ""aerotope""",,NH
aerotypes,aerotypes,0,morphology,storage,aerotope,aerotope,aerotope,,1,"NH: looks like ""aerotype"" is a typo for ""aerotope""",,NH
intracellular gas vesicles,intracellular gas vesicles,0,morphology,storage,,storage,intracellular gas vesicles,,1,"NH: is this different from ""aerotope""??",,NH
presence or absence of gas vacuole,presence or absence of gas vacuole,0,morphology,storage,,storage,presence or absence of gas vacuole,,,,,NH
storage organ,storage organ,0,morphology,storage,,storage,storage organ,,,,,NH
vacuoles,vacuoles,0,morphology,storage,,storage,vacuoles,,,,,NH
mean stream size,mean stream size,0,habitat,stream size,,stream size,mean stream size,,,,,CB
stream size affinity,stream size affinity,0,habitat,stream size,,stream size,stream size affinity,,,,,CB
leaf resistance to traction,leaf resistance to traction,0,morphology,strength,,strength,leaf resistance to traction,,,,,NH
leaf tensile strength,leaf tensile strength,0,morphology,strength,,strength,leaf tensile strength,,,,,NH
leaf toughness,leaf toughness,0,morphology,strength,,strength,leaf toughness,,,,,NH
strength,strength,0,morphology,strength,,strength,strength,,,,,NH
tensile strength,tensile strength,0,morphology,strength,,strength,tensile strength,,1,"NH: seems to repeat ""leaf tensile strength""",,NH
toughness,toughness,0,morphology,strength,,strength,toughness,,,,,NH
preferred substrate position,preferred substrate position,0,habitat,substrate,,substrate,preferred substrate position,,,,,CB
preferred substrate type,preferred substrate type,0,habitat,substrate,,substrate,preferred substrate type,,,,,CB
relation to substrate,relation to substrate,0,habitat,substrate,,substrate,relation to substrate,,,,,CB
resting substrate,resting substrate,0,habitat,substrate,,substrate,resting substrate,,,,,CB
stereotypy,stereotypy,1,habitat,substrate,,substrate,stereotypy,,1,,CB: proportion of observations in which we located it on its most frequently used resting substrate,CB
substrate,substrate,0,habitat,substrate,,substrate,substrate,,,,,CB
substrate affinity,substrate affinity,0,habitat,substrate,,substrate,substrate affinity,,,,,CB
substrate preference,substrate preference,0,habitat,substrate,,substrate,substrate preference,,,,,CB
substrate preferences,substrate preferences,0,habitat,substrate,,substrate,substrate preferences,,,,,CB
substratum,substratum,0,habitat,substrate,,substrate,substratum,,,,,CB
