DOI,Trait
10.1111/1365-2435.13141,resistance forms
10.1111/1365-2435.13141,respiration mode
10.1111/1365-2435.13142,dry mass
10.1111/1365-2435.13142,feeding method
10.1111/1365-2656.12004,adult flying strength
10.1111/1365-2656.12004,drifting propensity
10.1111/1365-2656.12004,female dispersal
10.1111/1365-2656.12020,body size
10.1111/1365-2656.12020,sex
10.1111/1365-2656.12144,adult female survival rate
10.1111/1365-2656.12173,paedomorphosis
10.1111/1365-2656.12271,age
10.1111/1365-2656.12271,body size
10.1111/1365-2656.12271,habitat stratum
10.1111/1365-2656.12271,hunting mode
10.1111/1365-2656.12471,fractional size
10.1111/1365-2656.12478,body mass
10.1111/1365-2656.12478,main feeding behaviour
10.1111/1365-2656.12478,main feeding guild
10.1111/1365-2656.12478,main feeding stratum
10.1111/1365-2656.12648,ballooning
10.1111/1365-2656.12648,cleptoparasitc
10.1111/1365-2656.12648,diet breadth
10.1111/1365-2656.12648,flying
10.1111/1365-2656.12648,habitat specialization
10.1111/1365-2656.12648,hunting strategy
10.1111/1365-2656.12648,nesting habitat
10.1111/1365-2656.12648,size
10.1111/1365-2656.12648,sociality
10.1111/1365-2656.12648,wing size
10.1111/1365-2656.12650,body mass
10.1111/1365-2656.12650,main feeding behaviour
10.1111/1365-2656.12650,main feeding guild
10.1111/1365-2656.12650,main feeding stratum
10.1111/1365-2656.12747,average head width
10.1111/1365-2656.12747,body size
10.1111/1365-2656.12747,colony size
10.1111/1365-2656.12747,diet breadth
10.1111/1365-2656.12747,group foraging
10.1111/1365-2656.12747,inquiline nesting
10.1111/1365-2656.12747,nesting in man-made structures
10.1111/1365-2656.12747,nesting in the ground
10.1111/1365-2656.12829,arable-land use
10.1111/1365-2656.12829,climate change tolerance
10.1111/1365-2656.12829,habitat
10.1111/1365-2656.12829,habitat degradation
10.1111/1365-2656.12829,meadow use
10.1111/1365-2656.12829,migration
10.1111/1365-2656.12829,thermal tolerance
10.1111/1365-2656.13029,dietary composition
10.1111/1365-2656.13029,foraging substrate
10.1111/1365-2656.13029,niche partitioning
10.1111/1365-2656.13029,resource requirements
10.1111/1365-2664.12022,dispersal method
10.1111/1365-2664.12022,trophic guild
10.1111/1365-2664.12037,age first flowering
10.1111/1365-2664.12037,anemochory
10.1111/1365-2664.12037,autochory
10.1111/1365-2664.12037,diaspore type
10.1111/1365-2664.12037,dysochory
10.1111/1365-2664.12037,endozoochory
10.1111/1365-2664.12037,epizoochory
10.1111/1365-2664.12037,fertility system
10.1111/1365-2664.12037,flowering start
10.1111/1365-2664.12037,hemerochory
10.1111/1365-2664.12037,leaf size
10.1111/1365-2664.12037,life span
10.1111/1365-2664.12037,mycorrhizal frequency
10.1111/1365-2664.12037,mycorrhizal type
10.1111/1365-2664.12037,N content
10.1111/1365-2664.12037,N fixation
10.1111/1365-2664.12037,pollen vector
10.1111/1365-2664.12037,reproductive type
10.1111/1365-2664.12037,rosette type
10.1111/1365-2664.12037,seed length
10.1111/1365-2664.12037,seed longevity
10.1111/1365-2664.12037,seed mass
10.1111/1365-2664.12037,seed number
10.1111/1365-2664.12037,seed shape
10.1111/1365-2664.12490,body mass
10.1111/1365-2664.12490,dietary specialization
10.1111/1365-2664.12490,mobility
10.1111/1365-2664.12490,trophic guild
10.1111/1365-2664.12490,vertical stratification
10.1111/1365-2664.12490,wing morphology
10.1111/1365-2664.12493,ballooning
10.1111/1365-2664.12493,body length
10.1111/1365-2664.12493,body size
10.1111/1365-2664.12493,body width
10.1111/1365-2664.12493,breeding season
10.1111/1365-2664.12493,competitive ability
10.1111/1365-2664.12493,dispersal mechanism
10.1111/1365-2664.12493,elevation
10.1111/1365-2664.12493,function
10.1111/1365-2664.12493,habitat
10.1111/1365-2664.12493,humicolous
10.1111/1365-2664.12493,leaf duration
10.1111/1365-2664.12493,light
10.1111/1365-2664.12493,mobility
10.1111/1365-2664.12493,moisture
10.1111/1365-2664.12493,niche
10.1111/1365-2664.12493,number of segments
10.1111/1365-2664.12493,overwintering forms
10.1111/1365-2664.12493,ph tolerance
10.1111/1365-2664.12493,body size plasticity
10.1111/1365-2664.12493,prostomium
10.1111/1365-2664.12493,root depth
10.1111/1365-2664.12493,sex
10.1111/1365-2664.12493,shading
10.1111/1365-2664.12493,soil aeration
10.1111/1365-2664.12493,soil humus
10.1111/1365-2664.12493,soil layer
10.1111/1365-2664.12493,trophic group
10.1111/1365-2664.12493,wings
10.1111/1365-2664.12516,N content
10.1111/1365-2664.12516,P content
10.1111/1365-2664.12516,plant height
10.1111/1365-2664.12516,seed mass
10.1111/1365-2664.12516,SLA
10.1111/1365-2664.12922,longevity
10.1111/1365-2664.12922,native provenance
10.1111/1365-2664.12922,primary dispersal mode
10.1111/1365-2664.12922,seed mass
10.1111/1365-2664.12922,SLA
10.1111/1365-2664.12922,woody
10.1111/1365-2664.12935,flowering date
10.1111/1365-2664.12935,max height
10.1111/1365-2664.12935,seed mass
10.1111/1365-2664.12935,SLA
10.1111/1365-2745.12003,LDMC
10.1111/1365-2745.12003,leaf carbon isotopic ratio
10.1111/1365-2745.12003,leaf N concentration
10.1111/1365-2745.12003,leaf thickness
10.1111/1365-2745.12003,onset of flowering date
10.1111/1365-2745.12003,reproductive height
10.1111/1365-2745.12003,seed mass
10.1111/1365-2745.12003,SLA
10.1111/1365-2745.12012,high leaf concentration of nitrogen
10.1111/1365-2745.12012,LDMC
10.1111/1365-2745.12012,plant height
10.1111/1365-2745.12012,SLA
10.1111/1365-2745.12012,tensile strength
10.1111/1365-2745.12012,wood specific gravity
10.1111/1365-2745.12013,height
10.1111/1365-2745.12013,relative growth rate
10.1111/1365-2745.12013,root density
10.1111/1365-2745.12098,canopy height
10.1111/1365-2745.12098,epizoochory
10.1111/1365-2745.12098,LDMC
10.1111/1365-2745.12098,leaf size
10.1111/1365-2745.12098,longevity
10.1111/1365-2745.12098,plant life form
10.1111/1365-2745.12098,seed bank
10.1111/1365-2745.12098,seed mass
10.1111/1365-2745.12098,seed production
10.1111/1365-2745.12098,SLA
10.1111/1365-2745.12160,foliar C-13
10.1111/1365-2745.12160,foliar C13 composition
10.1111/1365-2745.12160,foliar carbon
10.1111/1365-2745.12160,foliar K
10.1111/1365-2745.12160,foliar N
10.1111/1365-2745.12160,foliar P
10.1111/1365-2745.12160,laminar thickness
10.1111/1365-2745.12160,laminar total chlorophyll
10.1111/1365-2745.12160,laminar toughness
10.1111/1365-2745.12160,leaf area
10.1111/1365-2745.12160,leaf tissue density
10.1111/1365-2745.12160,root wood specific gravity
10.1111/1365-2745.12160,SLA
10.1111/1365-2745.12160,stem wood specific gravity
10.1111/1365-2745.12160,trunk bark thickness
10.1111/1365-2745.12199,longevity
10.1111/1365-2745.12199,persistence
10.1111/1365-2745.12199,seed dispersal potential
10.1111/1365-2745.12366,bark thickness
10.1111/1365-2745.12366,height
10.1111/1365-2745.12366,LDMC
10.1111/1365-2745.12366,leaf N content
10.1111/1365-2745.12366,leaf P
10.1111/1365-2745.12366,leaf tissue density
10.1111/1365-2745.12366,litter N
10.1111/1365-2745.12366,litter P
10.1111/1365-2745.12366,SDMC
10.1111/1365-2745.12366,seed
10.1111/1365-2745.12366,SLA
10.1111/1365-2745.12366,stem tissue density
10.1111/1365-2745.12480,leaf area
10.1111/1365-2745.12480,plant height
10.1111/1365-2745.12480,SLA
10.1111/1365-2745.12489,C:N ratio
10.1111/1365-2745.12489,carbon
10.1111/1365-2745.12489,erectness
10.1111/1365-2745.12489,evenness root area
10.1111/1365-2745.12489,evenness root length
10.1111/1365-2745.12489,evenness root mass
10.1111/1365-2745.12489,LDMC
10.1111/1365-2745.12489,leaf area
10.1111/1365-2745.12489,leaf area ratio
10.1111/1365-2745.12489,leaf area:perimeter ratio
10.1111/1365-2745.12489,leaf conductivity
10.1111/1365-2745.12489,leaf length
10.1111/1365-2745.12489,leaf mass production
10.1111/1365-2745.12489,leaf mass ratio
10.1111/1365-2745.12489,leaf thickness
10.1111/1365-2745.12489,leaf toughness
10.1111/1365-2745.12489,leaf width: length ratio
10.1111/1365-2745.12489,N content
10.1111/1365-2745.12489,N uptake
10.1111/1365-2745.12489,root carbon
10.1111/1365-2745.12489,root diameter
10.1111/1365-2745.12489,root nitrogen
10.1111/1365-2745.12489,shoot root ratio
10.1111/1365-2745.12489,SLA
10.1111/1365-2745.12489,specific density
10.1111/1365-2745.12489,specific root area
10.1111/1365-2745.12489,specific root density
10.1111/1365-2745.12489,specific root length
10.1111/1365-2745.12489,specific stem density
10.1111/1365-2745.12489,standing height
10.1111/1365-2745.12489,stem dry matter content
10.1111/1365-2745.12489,stretched height
10.1111/1365-2745.12536,LDMC
10.1111/1365-2745.12536,leaf N concentration
10.1111/1365-2745.12536,reproductive plant height
10.1111/1365-2745.12536,seed dry mass
10.1111/1365-2745.12536,SLA
10.1111/1365-2745.12598,average leaf area
10.1111/1365-2745.12598,LDMC
10.1111/1365-2745.12598,leaf C:N ratio
10.1111/1365-2745.12598,leaf N concentration
10.1111/1365-2745.12598,leaf N:P ratio
10.1111/1365-2745.12598,leaf P concentration
10.1111/1365-2745.12598,leaf tensile strength
10.1111/1365-2745.12598,SLA
10.1111/1365-2745.12604,age
10.1111/1365-2745.12604,DBH
10.1111/1365-2745.12633,chitin
10.1111/1365-2745.12633,phenolic substrates
10.1111/1365-2745.12633,phosphorus
10.1111/1365-2745.12633,root tip size
10.1111/1365-2745.12633,soil proteins
10.1111/1365-2745.12633,various carbon hydrates
10.1111/1365-2745.12658,LDMC
10.1111/1365-2745.12658,leaf carbon concentration
10.1111/1365-2745.12658,leaf carbon isotopic ratio
10.1111/1365-2745.12658,leaf N concentration
10.1111/1365-2745.12658,leaf N isotopic ratio
10.1111/1365-2745.12658,SLA
10.1111/1365-2745.12658,vegetative height
10.1111/1365-2745.12747,carbon isotope ratio
10.1111/1365-2745.12747,LDMC
10.1111/1365-2745.12747,plant height
10.1111/1365-2745.12747,root dry matter content
10.1111/1365-2745.12747,seed mass
10.1111/1365-2745.12747,SLA
10.1111/1365-2745.12747,specific root area
10.1111/1365-2745.12747,stem dry matter content
10.1111/1365-2745.12802,body size
10.1111/1365-2745.12802,DGH
10.1111/1365-2745.12802,LDMC
10.1111/1365-2745.12802,leaf C content
10.1111/1365-2745.12802,leaf N content
10.1111/1365-2745.12802,pH tolerance
10.1111/1365-2745.12802,SLA
10.1111/1365-2745.12802,stem specific density
10.1111/1365-2745.12851,girth at breast height
10.1111/1365-2745.12851,life form
10.1111/1365-2745.12996,LDMC
10.1111/1365-2745.12996,leaf area
10.1111/1365-2745.12996,leaf carbon isotopic discrimination
10.1111/1365-2745.12996,life cycle
10.1111/1365-2745.12996,life form
10.1111/1365-2745.12996,mass-based leaf nitrogen content
10.1111/1365-2745.12996,mass based P content
10.1111/1365-2745.12996,SLA
10.1111/1462-2920.12211,pH tolerance
10.1111/1752-1688.12650,adult dispersal
10.1111/1752-1688.12650,adult life span
10.1111/1752-1688.12650,body shape
10.1111/1752-1688.12650,chemical tolerance
10.1111/1752-1688.12650,current adaptation
10.1111/1752-1688.12650,current preference
10.1111/1752-1688.12650,development speed
10.1111/1752-1688.12650,drift
10.1111/1752-1688.12650,fecundity
10.1111/1752-1688.12650,functional feeding group
10.1111/1752-1688.12650,habit
10.1111/1752-1688.12650,larval dispersal
10.1111/1752-1688.12650,larval size
10.1111/1752-1688.12650,lateral preference
10.1111/1752-1688.12650,microhabitat type
10.1111/1752-1688.12650,oxygen tolerance
10.1111/1752-1688.12650,reproductive mode
10.1111/1752-1688.12650,respiration mode
10.1111/1752-1688.12650,sclerotization
10.1111/1752-1688.12650,thermal tolerance
10.1111/1752-1688.12650,turbidity preference
10.1111/1752-1688.12650,vertical preference
10.1111/1752-1688.12650,voltinism
10.1111/1752-1688.12650,water body preference
10.1111/2041-210X.12211,brood size
10.1111/2041-210X.12211,carcass use efficiency
10.1111/2041-210X.12211,clutch dry mass
10.1111/2041-210X.12211,clutch size
10.1111/2041-210X.12211,female body mass
10.1111/2041-210X.12211,female mass change
10.1111/2041-210X.12211,offspring size
10.1111/2041-210X.12211,standard length
10.1111/2041-210X.12280,LDMC
10.1111/2041-210X.12280,leaf C content
10.1111/2041-210X.12591,feeding method
10.1111/2041-210X.12591,size
10.1111/aec.12607,body length
10.1111/aec.12607,body mass
10.1111/aec.12607,leaf size
10.1111/aec.12607,snout vent length
10.1111/aec.12607,tibia fibula/hindlimb ratio
10.1111/bij.12238,adult body size
10.1111/bij.12238,age at sexual maturity
10.1111/bij.12238,gestation length
10.1111/bij.12238,litter size
10.1111/bij.12238,neonate body mass
10.1111/bij.12238,number of litters per year
10.1111/bij.12238,weaning age
10.1111/cobi.12378,breeding
10.1111/cobi.12378,dietary specialization
10.1111/cobi.12378,foraging method
10.1111/ddi.12074,max body size
10.1111/ddi.12074,reproductive output
10.1111/ddi.12708,plant maximum height at maturity
10.1111/ddi.12708,seed mass
10.1111/ddi.12708,SLA
10.1111/ddi.12712,forms a three dimensional structure
10.1111/ddi.12712,max recorded body size
10.1111/ddi.12712,nutritional symbionts
10.1111/ddi.12712,relative adult mobility
10.1111/ddi.12712,trophic level indicator
10.1111/ddi.12747,age at maturity
10.1111/ddi.12747,diet breadth
10.1111/ddi.12747,max fecundity
10.1111/ddi.12747,max lifespan
10.1111/ddi.12747,max total length
10.1111/ddi.12747,native range size
10.1111/ddi.12747,thermal tolerance
10.1111/ddi.12785,diet
10.1111/ddi.12785,food relocation behaviour
10.1111/ddi.12785,mean dry biomass
10.1111/ddi.12785,period of activity
10.1111/ddi.12785,trophic guild
10.1111/ddi.12790,body mass
10.1111/ddi.12790,body size
10.1111/ddi.12790,diet
10.1111/ddi.12790,habitat
10.1111/ddi.12790,mean group size
10.1111/ddi.12790,size of home range
10.1111/ecog.00473,leaf N
10.1111/ecog.00473,seed mass
10.1111/ecog.00473,wood density
10.1111/ecog.00623,beak length height and width
10.1111/ecog.00623,kipp's distance
10.1111/ecog.00623,sagittal and lateral diameter of tarsus
10.1111/ecog.00623,tail length
10.1111/ecog.00623,tarsus length
10.1111/ecog.00623,wing length
10.1111/ecog.00938,body size
10.1111/ecog.00938,floral specialization
10.1111/ecog.00938,nesting behaviour
10.1111/ecog.00938,phenology
10.1111/ecog.00938,sociality
10.1111/ecog.02010,fruit types
10.1111/ecog.02516,clonality
10.1111/ecog.02516,dispersal method
10.1111/ecog.02516,growth form
10.1111/ecog.02516,longevity
10.1111/ecog.02516,nutrient uptake strategy
10.1111/ecog.02516,photosynthetic pathway
10.1111/ecog.02516,plant height
10.1111/ecog.02516,pollination syndrome
10.1111/ecog.02516,seed mass
10.1111/ecog.02516,spinescence
10.1111/ecog.02632,body size
10.1111/ecog.02632,diet breadth
10.1111/ecog.02632,nest location
10.1111/ecog.02632,sociality
10.1111/ecog.02632,timing of foraging season
10.1111/ecog.02926,body size
10.1111/ecog.02926,degree in which species are associated with submerged plants
10.1111/ecog.02926,filtration type
10.1111/ecog.03582,body size
10.1111/ecog.03747,body size
10.1111/ecog.03747,diet
10.1111/ecog.03747,geographic affinity
10.1111/ecog.03747,habitat
10.1111/ecog.03782,accelerators
10.1111/ecog.03782,fecundity per female per spawning season
10.1111/ecog.03782,incubation time from embryo fertilization to hatch
10.1111/ecog.03782,length of spawning season
10.1111/ecog.03782,locomotion mode
10.1111/ecog.03782,swimming type
10.1111/ecog.03917,body size
10.1111/een.1.2425,diet
10.1111/een.1.2425,N contents
10.1111/een.1.2425,P contents
10.1111/een.12454,larval diet
10.1111/een.12454,linear distance between the base of the discal cell and the intersection of vein R5 with the wing margin as a proxy for adult dispersal capacity
10.1111/een.12454,wing area per thorax volume
10.1111/eff.12333,body shape
10.1111/eff.12333,life strategy
10.1111/eff.12333,standard length
10.1111/eff.12333,trophic guild
10.1111/ele.12757,habitat
10.1111/ele.12757,migratory patterns
10.1111/evo.12153,aposematism
10.1111/evo.12153,crypsis
10.1111/fwb.12228,# of eggs or live young
10.1111/fwb.12228,niche breadth
10.1111/fwb.12228,ovovivipary or pasting capsulated eggs on conspecifics
10.1111/fwb.12228,parental care
10.1111/fwb.12527,demand for silica
10.1111/fwb.12527,motility
10.1111/fwb.12527,phagotrophy
10.1111/fwb.12527,shape
10.1111/fwb.12527,size
10.1111/fwb.12554,altitudinal preferences
10.1111/fwb.12554,current pref
10.1111/fwb.12554,current velocity preferences
10.1111/fwb.12554,degree of rheophily
10.1111/fwb.12554,depth preference
10.1111/fwb.12554,feeding habitat
10.1111/fwb.12554,habitat
10.1111/fwb.12554,lateral distribution
10.1111/fwb.12554,longitudinal distribution
10.1111/fwb.12554,pH tolerance
10.1111/fwb.12554,salinity tolerance
10.1111/fwb.12554,saprobity
10.1111/fwb.12554,substrate preference
10.1111/fwb.12554,substrate preferences
10.1111/fwb.12554,temperature preferences
10.1111/fwb.12554,thermal tolerance
10.1111/fwb.12554,trophic guild
10.1111/fwb.12934,body size
10.1111/fwb.12934,feeding habit
10.1111/fwb.12934,locomotion and substrate relation
10.1111/fwb.12961,body flexibility
10.1111/fwb.12961,body form
10.1111/fwb.12961,body size
10.1111/fwb.12961,feeding method
10.1111/fwb.12961,locomotion
10.1111/fwb.12961,potential number of cycles per year
10.1111/fwb.12961,relation to substrate
10.1111/fwb.12966,cell size
10.1111/fwb.12966,growth morphology
10.1111/fwb.12966,trophic guild
10.1111/fwb.13233,adaptation to anoxic conditions
10.1111/fwb.13233,compression index
10.1111/fwb.13233,fineness coefficient
10.1111/fwb.13233,index of ventral flattening
10.1111/fwb.13233,pectoral fin aspect ratio
10.1111/fwb.13233,relative area of pectoral fin
10.1111/fwb.13233,relative diameter of nares
10.1111/fwb.13233,relative eye position
10.1111/fwb.13233,size
10.1111/fwb.13233,substrate preference
10.1111/fwb.13233,trophic guild
10.1111/gcb.12545,growth rate
10.1111/gcb.12545,recruitment
10.1111/gcb.12780,diet
10.1111/gcb.12780,elevation of habitat
10.1111/gcb.12780,length of spawning season
10.1111/gcb.12780,longevity
10.1111/gcb.12780,max length
10.1111/gcb.12780,max reported fecundity
10.1111/gcb.12780,salinity tolerance
10.1111/gcb.12780,spawning method
10.1111/gcb.12780,substrate preference
10.1111/gcb.12780,water column position
10.1111/gcb.12780,water flow preference
10.1111/gcb.13016,thermal tolerance
10.1111/gcb.13085,cell shape
10.1111/gcb.13085,cell size
10.1111/gcb.13085,motility
10.1111/gcb.13085,nutritional mode
10.1111/gcb.13085,organization
10.1111/gcb.13085,resting stages
10.1111/gcb.13174,fire resistance
10.1111/gcb.13174,fire tolerance
10.1111/gcb.13174,resprout ability
10.1111/gcb.13538,fecundity
10.1111/gcb.13538,juvenile survival
10.1111/gcb.13538,number of breeding pairs
10.1111/gcb.13835,thermal tolerance
10.1111/gcb.14119,body size
10.1111/gcb.14119,diet
10.1111/gcb.14119,mobility between reefs
10.1111/gcb.14119,mobility within reefs
10.1111/gcb.14119,position in water column
10.1111/gcb.14119,social grouping
10.1111/gcb.14119,time when active
10.1111/geb.12030,leaf N content
10.1111/geb.12030,max height
10.1111/geb.12030,seed mass
10.1111/geb.12030,wood density
10.1111/geb.12088,diet
10.1111/geb.12088,geographic range size
10.1111/geb.12088,habitat
10.1111/geb.12088,mean female body mass
10.1111/geb.12088,mean litter size
10.1111/geb.12167,leaf N content
10.1111/geb.12167,max height
10.1111/geb.12167,minimum rooting depth
10.1111/geb.12167,pH tolerance
10.1111/geb.12167,precipitation for growth
10.1111/geb.12167,seed mass
10.1111/geb.12167,slope of the power regression between tree height and diameter
10.1111/geb.12167,temperature for growth
10.1111/geb.12167,wood density
10.1111/geb.12475,adult trophic guild
10.1111/geb.12475,affinity to different freshwater bodies
10.1111/geb.12475,altitudinal affinity
10.1111/geb.12475,flow velocity
10.1111/geb.12475,max body length
10.1111/geb.12475,mean stream size
10.1111/geb.12475,substrate affinity
10.1111/geb.12475,temp preference
10.1111/geb.12475,vertical feeding position in water
10.1111/geb.12521,body size
10.1111/geb.12521,dietary breadth
10.1111/geb.12521,dispersal propensity
10.1111/geb.12521,voltinism
10.1111/geb.12537,body size
10.1111/geb.12567,annual fecundity
10.1111/geb.12567,diet
10.1111/geb.12567,length of min juvenile period
10.1111/geb.12567,longevity
10.1111/geb.12567,max cone length
10.1111/geb.12567,max DBH
10.1111/geb.12567,max height
10.1111/geb.12567,max seed length
10.1111/geb.12567,max seed wing length
10.1111/geb.12567,mean adult body mass
10.1111/geb.12567,mean seed mass
10.1111/geb.12567,native range size
10.1111/geb.12567,parthenogenesis
10.1111/geb.12567,snout-to-vent length
10.1111/geb.12783,LDMC
10.1111/geb.12783,leaf area per leaf
10.1111/geb.12783,leaf N per unit leaf dry mass
10.1111/geb.12783,max plant height
10.1111/geb.12783,seed dry mass
10.1111/geb.12783,SLA
10.1111/icad.12051,breeding season
10.1111/icad.12051,feeding method
10.1111/icad.12051,feeding mode of adults
10.1111/icad.12051,feeding mode of larvae
10.1111/icad.12051,habitat needs
10.1111/icad.12051,hunting mode
10.1111/icad.12051,microhabitat type
10.1111/icad.12051,overwintering stages
10.1111/icad.12051,wing morphology
10.1111/icad.12248,anterior eye position
10.1111/icad.12248,aprical tooth length
10.1111/icad.12248,clypeus length
10.1111/icad.12248,eye size
10.1111/icad.12248,femur length
10.1111/icad.12248,femur width
10.1111/icad.12248,head width
10.1111/icad.12248,interocular distance
10.1111/icad.12248,mandible length
10.1111/icad.12248,mandible width
10.1111/icad.12248,pronotum width
10.1111/icad.12248,scape length
10.1111/icad.12248,weber's length
10.1111/icad.12271,generalist
10.1111/icad.12271,habitat preference for oviposition
10.1111/icad.12271,larval feeding habit
10.1111/icad.12271,over-wintering grounds
10.1111/icad.12271,size
10.1111/icad.12271,specialist
10.1111/icad.12271,specialization to wetlands
10.1111/icad.12271,voltinism
10.1111/j.0030-1299.2005.13632.x,adult persistence
10.1111/j.0030-1299.2005.13632.x,potential for long distance dispersal
10.1111/j.0030-1299.2005.13632.x,potential to build up a persistent soil seed bank
10.1111/j.0906-7590.2008.05457.x,thermal tolerance
10.1111/j.1095-8312.2007.00909.x,humerus
10.1111/j.1095-8312.2007.00909.x,length of the femur
10.1111/j.1095-8312.2007.00909.x,longest toe on the forelimb
10.1111/j.1095-8312.2007.00909.x,longest toe on the hindlimb
10.1111/j.1095-8312.2007.00909.x,metacarpus on the forelimb
10.1111/j.1095-8312.2007.00909.x,metatarsus on the hindlimb
10.1111/j.1095-8312.2007.00909.x,radius
10.1111/j.1095-8312.2007.00909.x,snout-vent length
10.1111/j.1095-8312.2007.00909.x,tibia
10.1111/j.1095-8312.2010.01569.x,brown mark patterns lateral on stripes
10.1111/j.1095-8312.2010.01569.x,distribution of black setae on the abdominal sternites
10.1111/j.1095-8312.2010.01569.x,number of black setae on every side of the pronotum
10.1111/j.1095-8312.2010.01569.x,presence of black setae on the abdominal sternites
10.1111/j.1095-8312.2010.01569.x,shape of brown mark on genae
10.1111/j.1095-8649.2010.02640.x,number of bony lateral plates
10.1111/j.1365-2427.1994.tb01754.x,potential no. of descendants per reproductive cycle
10.1111/j.1365-2427.1994.tb01754.x,potential no. of reproductive cycles per individual
10.1111/j.1365-2427.1994.tb01754.x,potential size
10.1111/j.1365-2427.1994.tb01754.x,reproductive period
10.1111/j.1365-2427.1994.tb01754.x,reproductive technique
10.1111/j.1365-2427.1994.tb01755.x,# of reproductive cycles per individual
10.1111/j.1365-2427.1994.tb01755.x,# of reproductive cycles per year
10.1111/j.1365-2427.1994.tb01755.x,attachment to soil or substrate
10.1111/j.1365-2427.1994.tb01755.x,body flexibility
10.1111/j.1365-2427.1994.tb01755.x,body form
10.1111/j.1365-2427.1994.tb01755.x,diet
10.1111/j.1365-2427.1994.tb01755.x,distance travelled with current or distance travelled against current
10.1111/j.1365-2427.1994.tb01755.x,parental care
10.1111/j.1365-2427.1994.tb01755.x,potential # of descendants per reproductive cycle
10.1111/j.1365-2427.1994.tb01755.x,potential for regeneration of an individual
10.1111/j.1365-2427.1994.tb01755.x,potential size
10.1111/j.1365-2427.1994.tb01755.x,reproductive mode
10.1111/j.1365-2427.1994.tb01755.x,reproductive period
10.1111/j.1365-2427.1994.tb01755.x,resistant life stages
10.1111/j.1365-2427.1994.tb01755.x,respiration
10.1111/j.1365-2427.1994.tb01755.x,tolerance to variation in humidity
10.1111/j.1365-2427.1994.tb01755.x,variability of habitat use
10.1111/j.1365-2427.1994.tb01756.x,attachment
10.1111/j.1365-2427.1994.tb01756.x,body flexibility
10.1111/j.1365-2427.1994.tb01756.x,body form
10.1111/j.1365-2427.1994.tb01756.x,cycles per individual
10.1111/j.1365-2427.1994.tb01756.x,cycles per year
10.1111/j.1365-2427.1994.tb01756.x,descendants per cycle
10.1111/j.1365-2427.1994.tb01756.x,diet
10.1111/j.1365-2427.1994.tb01756.x,distance moved with current
10.1111/j.1365-2427.1994.tb01756.x,distanced moved against current
10.1111/j.1365-2427.1994.tb01756.x,feeding characteristics
10.1111/j.1365-2427.1994.tb01756.x,general mobility
10.1111/j.1365-2427.1994.tb01756.x,humidity tolerance
10.1111/j.1365-2427.1994.tb01756.x,insect adult longevity
10.1111/j.1365-2427.1994.tb01756.x,larval longevity
10.1111/j.1365-2427.1994.tb01756.x,parental care
10.1111/j.1365-2427.1994.tb01756.x,regeneration potential
10.1111/j.1365-2427.1994.tb01756.x,reproductive period
10.1111/j.1365-2427.1994.tb01756.x,reproductive technique
10.1111/j.1365-2427.1994.tb01756.x,resistance stages
10.1111/j.1365-2427.1994.tb01756.x,size
10.1111/j.1365-2427.1994.tb01756.x,total longevity
10.1111/j.1365-2427.2007.01736.x,hydraulic preference
10.1111/j.1365-2427.2007.01736.x,oxygen tolerance
10.1111/j.1365-2427.2007.01736.x,thermal tolerance
10.1111/j.1365-2427.2009.02220.x,life history strategy
10.1111/j.1365-2427.2009.02220.x,spawning habitat preference
10.1111/j.1365-2427.2009.02220.x,spawning period
10.1111/j.1365-2427.2009.02220.x,trophic structure placement
10.1111/j.1365-2427.2009.02220.x,vertical habitat use
10.1111/j.1365-2435.2009.01614.x,dry mass
10.1111/j.1365-2435.2009.01614.x,leaf area
10.1111/j.1365-2435.2009.01614.x,leaf water content
10.1111/j.1365-2435.2009.01614.x,SLA
10.1111/j.1365-2435.2010.01727.x,LDMC
10.1111/j.1365-2435.2010.01727.x,leaf carbon concentration
10.1111/j.1365-2435.2010.01727.x,leaf N concentration
10.1111/j.1365-2435.2010.01727.x,max vegetative height
10.1111/j.1365-2435.2010.01727.x,SLA
10.1111/j.1365-2435.2012.02057.x,coricosterone stress responsiveness
10.1111/j.1365-2486.2007.01483.x,germination rate
10.1111/j.1365-2486.2007.01483.x,seedling growth rate
10.1111/j.1365-2656.2006.01068.x,dispersal ability
10.1111/j.1365-2656.2006.01068.x,dissemination potential
10.1111/j.1365-2656.2006.01068.x,function feeding group
10.1111/j.1365-2656.2008.01443.x,average body size of females
10.1111/j.1365-2656.2008.01443.x,ballooning propensity
10.1111/j.1365-2656.2008.01443.x,flight ability
10.1111/j.1365-2656.2008.01443.x,moisture use
10.1111/j.1365-2656.2008.01443.x,niche breadth
10.1111/j.1365-2656.2008.01443.x,shading preference
10.1111/j.1365-2656.2010.01660.x,active dispersal
10.1111/j.1365-2656.2010.01660.x,adult longevity
10.1111/j.1365-2656.2010.01660.x,asexual reproduction
10.1111/j.1365-2656.2010.01660.x,clutch size
10.1111/j.1365-2656.2010.01660.x,diet
10.1111/j.1365-2656.2010.01660.x,hermaphroditism
10.1111/j.1365-2656.2010.01660.x,life history strategy
10.1111/j.1365-2656.2010.01660.x,rate of juvenile development
10.1111/j.1365-2656.2010.01660.x,synchronization of adult mergernce
10.1111/j.1365-2656.2010.01660.x,synchronization of juvenile development
10.1111/j.1365-2656.2010.01660.x,type of oviposition
