TI,AB,DOI,PY,PT,AU,SO,Relevance,Review,Observational,Experiment,Metanalysis,QModel,TModel,Type of study,Ecosystem,Taxonomic,System,Trait Types,NEWPhysiological,Morphological,Physiological,Life History,Behavioural,Fundamental,Physical,Ecological,Trophic,Level of Prediction Possible,Forecasting/Predictive,Global Change,Global Change Driver,AdditionalReviewNeeded,ReviewerNotes,ReviewedBy
Woody species in resource-rich microrefugia of granite outcrops display unique functional signatures,"Refugia are key environments in biogeography and conservation. Because of their unique eco-evolutionary formation and functioning, they should display distinct functional trait signatures. However, comparative trait-based studies of plants in refugia and non-refugia are lacking. Here, we provide a comparison between resource-rich (putative microrefugia for species preferring mesic habitats under increasing aridity) and resource-impoverished woodlands (non-refugia) around two granite outcrops in south-western Australia. We measured and compared six functional traits (bark thickness, foliar delta C-13, foliar C:N, leaf dry matter content, plant height, specific leaf area) in four woody species. We performed multiple-trait, multiple-species and single-trait, within-species analyses to test whether plants in resource-rich habitats were functionally distinct and more diverse than those in the surrounding resource-impoverished woodlands. We found that species in resource-rich woodlands occupied larger and distinct multiple-trait functional spaces and showed distinct single-trait values (for specific leaf area and bark thickness). This suggests that plants in resource-rich woodlands can deploy unique and more diverse ecological strategies, potentially making these putative microrefugia more resilient to environmental changes. These findings suggest that species in microrefugia may be characterised by unique functional signatures, illustrating the utility of comparative trait-based approaches to improve understanding of the functioning of refugia.",10.1111/aec.12745,2019,J,"Ottaviani, G; Keppel, G; Marcantonio, M; Mucina, L; Wardell-Johnson, G",AUSTRAL ECOLOGY,1,0,1,0,0,1,0,observational,terrestrial,plants,Southwestern Australia woody species,bark thickness; foliar C13; foliar C:N; LDMC; plant height; SLA,0,1,0,0,0,1,0,1,0,0,0,0,0,,,CB
Predicting biodiversity loss in island and countryside ecosystems through the lens of taxonomic and functional biogeography,"We investigate how variation in patch area and forest cover quantified for three different spatial scales (buffer size of 500, 1500 and 3000 m radius) affects species richness and functional diversity of bat assemblages in two ecosystems differing in fragment-matrix contrast: a landbridge island system in Panama and a countryside ecosystem in the Brazilian Amazon. Bats were sampled on 11 islands and the adjacent mainland in Panama, and in eight forest fragments and nearby continuous forest in Brazil. Species-area relationships (SAR) were assessed based on Chao1 species richness estimates, and functional diversity-area relationships (FAR) were quantified using Chao1 functional diversity estimates measured as the total branch length of a trait dendrogram. FARs were calculated using three trait sets: considering five species functional traits (FAR(ALL)), and trait subsets reflecting 'diet breadth' (FAR(DIET)) and 'dispersal ability' (FAR(DISPERSAL)). We found that in both study systems, FAR(ALL) was less sensitive to habitat loss than SAR, in the sense that an equal reduction in habitat loss led to a disproportionately smaller loss of functional diversity compared to species richness. However, the inhospitable and static aquatic matrix in the island ecosystem resulted in more pronounced species loss with increasing loss of habitat compared to the countryside ecosystem. Moreover, while we found a significant FAR(DISPERSAL) for the island ecosystem in relation to forest cover within 500 m landscape buffers, FAR(DIET) and FAR(DISPERSAL) were not significant for the countryside ecosystem. Our findings highlight that species richness and functional diversity in island and countryside ecosystems scale fundamentally differently with habitat loss, and suggest that key bat ecological functions, such as pollination, seed dispersal and arthropod suppression, may be maintained in fragments despite a reduction in species richness. Our study reinforces the importance of increasing habitat availability for decreasing the chances of losing species richness in smaller fragments.",10.1111/ecog.04507,2020,J,"Farneda, FZ; Grelle, CEV; Rocha, R; Ferreira, DF; Lopez-Baucells, A; Meyer, CFJ",ECOGRAPHY,1,0,1,0,0,1,0,observational,terrestrial,mammals,tropical forest; tropical islands Panama; tropical forest Brazil,body mass; trophic level; dietary specialization; vertical habitat stratification; wing aspect ratio; relative wing loading,0,1,0,0,1,0,0,1,1,0,0,1,habitat degredation,,,CB
GIFT - A Global Inventory of Floras and Traits for macroecology and biogeography,"Aim To understand how functional traits and evolutionary history shape the geographic distribution of plant life on Earth, we need to integrate high-quality and global-scale distribution data with functional and phylogenetic information. Large-scale distribution data for plants are, however, often restricted to either certain taxonomic groups or geographic regions. Range maps only exist for a small subset of all plant species and digitally available point-occurrence information is biased both geographically and taxonomically. Floras and checklists represent an alternative, yet rarely used potential source of information. They contain highly curated information about the species composition of a clearly defined area, and together virtually cover the entire global land surface. Here, we report on our recent efforts to mobilize this information for macroecological and biogeographical analyses in the GIFT database, the Global Inventory of Floras and Traits. Location Global. Taxon Land plants (Embryophyta). Methods GIFT integrates plant distributions from regional Floras and checklists with functional traits, phylogenetic information, and region-level geographic, environmental and socio-economic data. It contains information about the floristic status (native, endemic, alien and naturalized) and takes advantage of the wealth of trait information in the regional Floras, complemented by data from global trait databases. Results GIFT 1.0 holds species lists for 2,893 regions across the whole globe including ~315,000 taxonomically standardized species names (i.e. c. 80% of all known land plant species) and ~3 million species-by-region occurrences. Based on a hierarchical and taxonomical derivation scheme, GIFT contains information for 83 functional traits and more than 2.3 million trait-by-species combinations and achieves unprecedented coverage in categorical traits such as woodiness (~233,000 spp.) or growth form (~213,000 spp.). Main conclusions Here, we present the structure, content and automated workflows of GIFT and a corresponding web-interface () as proof of concept for the feasibility and potential of mobilizing aggregated biodiversity data for global macroecological and biogeographical research.",10.1111/jbi.13623,2020,J,"Weigelt, P; K?nig, C; Kreft, H",JOURNAL OF BIOGEOGRAPHY,0,,,,,,,,,,,,,,,,,,,,,,,,,"Note: description of global trait database, not analysis",COLE: Agree,CB
Convergent elevation trends in canopy chemical traits of tropical forests,"The functional biogeography of tropical forests is expressed in foliar chemicals that are key physiologically based predictors of plant adaptation to changing environmental conditions including climate. However, understanding the degree to which environmental filters sort the canopy chemical characteristics of forest canopies remains a challenge. Here, we report on the elevation and soil-type dependence of forest canopy chemistry among 75 compositionally and environmentally distinct forests in nine regions, with a total of 7819 individual trees representing 3246 species collected, identified and assayed for foliar traits. We assessed whether there are consistent relationships between canopy chemical traits and both elevation and soil type, and evaluated the general role of phylogeny in mediating patterns of canopy traits within and across communities. Chemical trait variation and partitioning suggested a general model based on four interconnected findings. First, geographic variation at the soil-Order level, expressing broad changes in fertility, underpins major shifts in foliar phosphorus (P) and calcium (Ca). Second, elevation-dependent shifts in average community leaf dry mass per area (LMA), chlorophyll, and carbon allocation (including nonstructural carbohydrates) are most strongly correlated with changes in foliar Ca. Third, chemical diversity within communities is driven by differences between species rather than by plasticity within species. Finally, elevation-and soil-dependent changes in N, LMA and leaf carbon allocation are mediated by canopy compositional turnover, whereas foliar P and Ca are driven more by changes in site conditions than by phylogeny. Our findings have broad implications for understanding the global ecology of humid tropical forests, and their functional responses to changing climate.",10.1111/gcb.13164,2016,J,"Asner, GP; Martin, RE",GLOBAL CHANGE BIOLOGY,1,0,1,0,0,1,0,observational,terrestrial,plants,tropical forests globally,foliar P; foliar CA; ash-free dry mass; cellulose; lignin; N; total chlorophyll; phenolic concentration; leaf dry mass per unit area,1,1,1,0,0,1,0,1,0,0,0,0,0,,,CB
"Global biogeography of Streptomyces antibiotic inhibition, resistance, and resource use","Although recent molecular techniques have greatly expanded our knowledge of microbial biogeography, the functional biogeography of soil microorganisms remains poorly understood. In this work, we explore geographic variation in Streptomyces phenotypes that are critical to species interactions. Specifically, we characterize Streptomyces from different locations from multiple continents for antibiotic inhibition, resistance, and resource use phenotypes. Streptomyces from different locations varied significantly in antibiotic inhibition, resistance, and resource use indicating that communities vary in functional potential. Among all isolates, there were substantial differences in antibiotic inhibition, resistance, and resource use within and among and within Streptomyces species. Moreover, Streptomyces with near-identical 16S rRNA gene sequences from different locations sometimes differed significantly in inhibition, resistance, and resource use phenotypes, suggesting that these phenotypes may be locally adapted. Thus, in addition to a likely role of environmental filtering, variation in Streptomyces inhibitory, resistance, and resource use phenotypes among locations is likely to be a consequence of local selection mediated by species interactions.",10.1111/1574-6941.12307,2014,J,"Schlatter, DC; Kinkel, LL",FEMS MICROBIOLOGY ECOLOGY,1,0,1,0,0,1,0,observational,terrestrial,bacteria,soil microbes globablly,antibiotic inhibition (inhibition zone >2mm); antibiotic resistance (inhibition zone <2mm); niche width; resource use efficiency; efficiency on preferred resources,1,0,1,0,1,0,0,1,0,0,0,0,0,"Additional review: global biogeographic patterns, but no environmental drivers assessed","COLE: tough, because I can see an argument for their 'habitat type' information they collected being some sort of environmental filter, but I don't think they actually do anything with that information in a 'filtering' way during the analysis, so would agree with not relevant",CB
The quality of organic matter shapes the functional biogeography of bacterioplankton across boreal freshwater ecosystems,"Aim The need to go beyond taxonomy to understand patterns in microbial function has led to an increased use of trait-based approaches, yet we know little about how microbial functional traits vary across large-scale environmental gradients in natural ecosystems. Here, we apply a trait-based approach to explore the large-scale variability in the trait structure underlying the processing of dissolved organic matter (DOM) by boreal bacterioplankton communities, as well as its regulation and links to taxonomic composition. Location Samples were collected from 296 rivers and lakes across five regions in northern Quebec (Canada), which span large gradients in environmental, climatic and geographical properties typical of the boreal zone. Methods We used the metabolic profiles obtained with Biolog EcoPlates as an imprint of the trait structure underlying bacterial processing of DOM, and Illumina sequencing of the 16SrRNA gene to characterize the taxonomic composition of these bacterial assemblages. The resulting spatial patterns were compared with an array of climatic, landscape and limnological properties varying at the landscape scale. Results Despite a clear regional segregation of the sampled sites based on environmental variables, the trait structure of boreal bacteria did not show any regional or ecosystem-specific patterns, but rather was linked to a gradient of quality of DOM. Community trait configurations diverged progressively with decreasing terrestrial influence, probably due to local processes that transform and diversify the available pool of DOM. This DOM quality gradient did not explain the taxonomic biogeography of these communities, which was controlled by a different set of environmental factors. Main conclusions The functional biogeography of boreal bacterioplankton is driven by the nature of the DOM pool, and particularly by the influence of terrestrial DOM. The lack of coherence between functional and taxonomic biogeographies implies that the environmental controls of freshwater bacterial performance cannot be directly inferred from spatial patterns in taxonomic composition.",10.1111/geb.12356,2015,J,"Ruiz-Gonzalez, C; Nino-Garcia, JP; Lapierre, JF; del Giorgio, PA",GLOBAL ECOLOGY AND BIOGEOGRAPHY,1,0,1,0,0,1,0,observational,freshwater,bacteria,boreal freshwater lakes and streams (Quebec),substrate utilization profiles for dissolved 02 content,1,0,1,0,0,1,0,0,0,0,0,0,0,extent of DOM input major driver of substrait utilization signatures in boreal freshwater systems,"COLE: agree with trait classification, but unsure what the question in the AdditionalReview column was?",CB
The biogeography of fertilization mode in the sea,"Aim Knowledge of the biogeography of life histories is central to understanding and predicting the impacts of global change on key functional traits that shape species distributions and transcend taxonomic boundaries. Whether species are internal or external fertilizers is a fundamental aspect of reproductive diversity in the sea, and has profound ecological and evolutionary consequences. However, geographic variation in this trait and the factors that potentially drive it (e.g. transitions in associated life-history traits, ecological conditions that favour one mode over the other or the evolutionary history of species) remain poorly characterized. Location Oceans world-wide. Methods We collated life-history data (modes of fertilization and development), geographic data and biophysical data (sea-surface temperatures and food availability) for 1532 marine species spanning 17 invertebrate phyla. We used standard and phylogenetic logistic regressions to evaluate latitudinal gradients in fertilization mode, plus their interactions with development (transitions from planktonic to aplanktonic development, or fromfeeding to non-feeding larvae) and taxonomy. We also explored the dependence of fertilization mode on biophysical variables to understand how ecology potentially contributes to geographic variation in this trait. Results Fertilization mode often varies predictably with latitude, but the exact nature of this relationship depends on developmental mode and the phylum under consideration. Some commonalities were evident, however, with the likelihood of internal fertilization declining at higher latitudes for Annelida and Echinodermata with aplanktonic development, but increasing at higher latitudes for Cnidaria and Porifera with non-feeding, planktonic larvae. Synergistic effects of temperature and food availability may potentially shape some of these patterns. Main conclusions There are latitudinal gradients in fertilization mode in the sea. The variation among phyla and developmental modes, however, is a complexity that is unexplained by existing theory. Combined effects of recent adaptation and deeper phylogenetic history have probably shaped this systematic variation in the reproductive ecology of marine organisms.",10.1111/geb.12358,2015,J,"Monro, K; Marshall, DJ",GLOBAL ECOLOGY AND BIOGEOGRAPHY,1,1,1,0,1,1,0,observational,marine,invertebrates,global,fertilization mode; development mode,0,0,0,1,0,1,1,1,1,F,1,0,0,"Additional review: use global database, so include as meta-analysis or eview? create predictive plot for temp-chlorophyll and likelihood of trait. Not sure what level of prediction here?","COLE: would say review. RE: level of prediction, since it's just temp would say fundamental (F). Input 1 for metanalysis and F for level of pred.",CB
Global patterns and drivers of species and trait composition in diatoms,"Aim To examine species and trait composition in stream diatoms along environmental, climatic and spatial gradients and to ascertain if the use of different levels of biological organization is beneficial for investigating global environmental changes and the role of history in structuring communities. Location Global cover with datasets from the Antilles, France, Finland, New Zealand, La Reunion and the United States. Methods We related diatom species composition, guild composition, total richness and richness across guilds to environmental, climatic and spatial variables. We used non-metric multidimensional scaling (NMDS) with environmental variable fitting, redundancy analysis (RDA) with variation partitioning, analysis of similarities and linear mixed models as statistical tools. Results Species composition differed significantly among the study regions, while the differences in guild composition were less pronounced. US and French streams shared a large number of species, whereas islands shared only a few species with continents. For species composition, all predictors showed significant relationships with diatoms but pH, longitude, annual temperature and precipitation had the strongest impact. Variation partitioning revealed that the local environment outperformed climatic and spatial variables. For guild composition, there was a substantial overlap across regions in NMDS. The results from RDA demonstrated, however, that guild composition was better explained than species composition, especially by environmental variables. Both species and guild richness were significantly correlated with most predictors. Notably, species richness scaled positively with latitude. Main conclusions Diatom species and guild composition varied substantially in response to local environment and climatic and spatial variables indicating both environmental and historical effects. Species composition discriminated the geographical regions better, while guild composition detected the environmental gradients better. This emphasizes the need to examine different levels of organization to gain a deeper understanding of the roles of environment versus history in structuring communities. These findings suggest that diatom species distributions are under strong microevolutionary constraints. Conversely, guild distributions are less dependent on historic factors and are driven primarily by the environment, which makes them better suited for research on global environmental change.",10.1111/geb.12452,2016,J,"Soininen, J; Jamoneau, A; Rosebery, J; Passy, SI",GLOBAL ECOLOGY AND BIOGEOGRAPHY,1,0,1,0,0,1,0,observational,freshwater,phytoplankton,global streams,body size; N fixation; acid tolerance; water column position; motility,1,1,1,0,0,1,0,1,0,0,0,0,0,,,CB
"Host species identity, site and time drive temperate tree phyllosphere bacterial community structure","Background: The increasing awareness of the role of phyllosphere microbial communities in plant health calls for a greater understanding of their structure and dynamics in natural ecosystems. Since most knowledge of tree phyllosphere bacterial communities has been gathered in tropical forests, our goal was to characterize the community structure and assembly dynamics of phyllosphere epiphytic bacterial communities in temperate forests in Quebec, Canada. We targeted five dominant tree species: Acer saccharum, Acer rubrum, Betula papyrifera, Abies balsamea, and Picea glauca. We collected 180 samples of phyllosphere communities on these species at four natural forest sites, three times during the growing season. Results: Host functional traits (i.e., wood density, leaf nitrogen content) and climate variables (summer mean temperature and precipitation) were strongly correlated with community structure. We highlight three key findings: (1) temperate tree species share a ""core microbiome""; (2) significant evolutionary associations exist between groups of bacteria and host species; and (3) a greater part of the variation in phyllosphere bacterial community assembly is explained by host species identity (27 %) and species-site interaction (14 %), than by site (11 %) or time (1 %). Conclusions: We demonstrated that host species identity is a stronger driver of temperate tree phyllosphere bacterial communities than site or time. Our results suggest avenues for future studies on the influence of host functional traits on phyllosphere community functional biogeography across terrestrial biomes.",10.1186/s40168-016-0174-1,2016,J,"Laforest-Lapointe, I; Messier, C; Kembel, SW",MICROBIOME,0,,,,,,,,,,,,,,,,,,,,,,,,,,Traits of hosts (as environmental filter) rather than traits of taxa responding to gradient,CB
Plant community structure and nitrogen inputs modulate the climate signal on leaf traits,"AimLeaf traits strongly impact biogeochemical cycles in terrestrial ecosystems. Understanding leaf trait variation along environmental gradients is thus essential to improve the representation of vegetation in Earth system models. Our aims were to quantify relationships between leaf traits and climate in permanent grasslands at a biogeographical scale and to test whether these relationships were sensitive to (a) the level of nitrogen inputs and (b) the inclusion of information pertaining to plant community organization. LocationPermanent grasslands throughout France. MethodsWe combined existing datasets on climate, soil, nitrogen inputs (fertilization and deposition), species composition and four traits, namely specific leaf area, leaf dry matter content and leaf nitrogen and phosphorus concentrations, for 15,865 French permanent grasslands. Trait-climate relationships were tested using the following four climatic variables available across 1,833 pixels (5 kmx5 km): mean annual temperature (MAT) and precipitation (MAP), and two indices accounting for the length of the growing season. We compared these relationships at the pixel level using either using community-level or species' trait means. ResultsOur findings were as follows: (a) leaf traits related to plant nutrient economy shift consistently along a gradient of growing season length accounting for temperature and soil water limitations of plant growth (GSL(tw)); (b) weighting leaf traits by species abundance in local communities is pivotal to capture leaf trait-environment relationships correctly at a biogeographical scale; and (c) the relationships between traits and GSL(tw) weaken for grasslands with a high nitrogen input. Main conclusionsThe effects of climate on plant communities are better described using composite descriptors than coarse variables such as MAT or MAP, but appear weaker for high-nitrogen grasslands. Using information at the community level tends to strengthen trait-climate relationships. The interplay of land management, community assembly and bioclimate appears crucial to the prediction of leaf trait variations and their effects on biogeochemical cycles.",10.1111/geb.12623,2017,J,"Borgy, B; Violle, C; Choler, P; Denelle, P; Munoz, F; Kattge, J; Lavorel, S; Loranger, J; Amiaud, B; Bahn, M; van Bodegom, PM; Brisse, H; Debarros, G; Diquelou, S; Gachet, S; Jolivet, C; Lemauviel-Lavenant, S; Mikolajczak, A; Olivier, J; Ordonez, J; de Ruffray, P; Viovy, N; Garnier, E",GLOBAL ECOLOGY AND BIOGEOGRAPHY,1,0,1,0,0,1,0,observational,terrestrial,plants,grasslands,leaf area; LDMC; leaf nitrogen; leaf phosphorous,0,1,0,1,1,1,0,1,0,0,0,1,habitat degredation,,,CB
"Foliar pH, an emerging plant functional trait: Biogeography and variability across northern China","Aims Plant pH is a functional trait deserving more attention than the current few studies at local scales, given its roles in nutrient cycling and physiological processes. How plant pH varies and is regulated at large scales remain unclear. Here we explore the biogeography of foliar pH and the potential drivers. Location East-west transect of northern China with increasing aridity westward. Time period 2016-2017. Major taxa Spermatophytes. Methods We analysed foliar pH of plants from 22 sites across northern China, and investigated its spatial pattern and relationships with climate, soil, and plant functional type (PFT). Results Foliar pH was generally acidic (5.33 +/- .04) in northern China, showing distinct geographical variability: foliar pH decreased significantly westward at an average rate of 0.25 units per 10 degrees longitude. Climate, soil and PFT explained 11, 17 and 59% of the variance in foliar pH, respectively. Foliar pH decreased (about 0.16) with mean annual precipitation (per 100 mm), soil stress coefficient (per 10%) and aridity index (per 0.14), but increased with mean annual temperature (per 2 degrees C). Across PFTs, herbs exhibited higher foliar pH than woody plants (6.0 vs. 4.9); gymnosperms relative to angiosperms had lower foliar pH (3.7 vs. 5.6); and monocotyledons showed higher foliar pH compared with dicotyledons (6.0 vs. 5.5). Main conclusions This study provides the first comprehensive analysis of the evident pattern of foliar pH over a large spatial scale. Foliar pH is higher in warm-arid northwestern relative to cold-humid northeastern China and in later- than earlier-evolved plants. Similar to leaf mineral elements, foliar-pH biogeography is shaped by the joint effects of climate, soil and PFT; PFT and moisture are the most influential factors. Our findings provide a new impetus for understanding functional biogeography, and lay the groundwork for research on the linkage of foliar pH to ecological functions and macroevolutionary implications.",10.1111/geb.12860,2019,J,"Liu, SN; Yan, ZB; Chen, YH; Zhang, MX; Chen, J; Han, WX",GLOBAL ECOLOGY AND BIOGEOGRAPHY,1,0,1,0,0,1,0,observational,terrestrial,plants,multipe across China,pH,1,0,1,0,0,1,0,0,0,0,0,0,0,,,CB
Linking plant and ecosystem functional biogeography,"Classical biogeographical observations suggest that ecosystems are strongly shaped by climatic constraints in terms of their structure and function. On the other hand, vegetation function feeds back on the climate system via biosphere-atmosphere exchange of matter and energy. Ecosystem-level observations of this exchange reveal very large functional biogeographical variation of climate-relevant ecosystem functional properties related to carbon and water cycles. This variation is explained insufficiently by climate control and a classical plant functional type classification approach. For example, correlations between seasonal carbon-use efficiency and climate or environmental variables remain below 0.6, leaving almost 70% of variance unexplained. We suggest that a substantial part of this unexplained variation of ecosystem functional properties is related to variations in plant and microbial traits. Therefore, to progress with global functional biogeography, we should seek to understand the link between organismic traits and flux-derived ecosystem properties at ecosystem observation sites and the spatial variation of vegetation traits given geoecological covariates. This understanding can be fostered by synergistic use of both data-driven and theory-driven ecological as well as biophysical approaches.",10.1073/pnas.1216065111,2014,J,"Reichstein, M; Bahn, M; Mahecha, MD; Kattge, J; Baldocchi, DD",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0,1,,,,,,,,,,,,,,,,,,,,,,,,"Additional review: discuss relation of physiological traits to environment and latitude, but only present data published elsewhere in figs (not new analysis)",COLE: agree not relevant,CB
Macrophysiology - progress and prospects,"1. Macrophysiology is the investigation of variation in physiological traits over large geographic and temporal scales and the ecological implications of this variation. It has now been undertaken, as a defined field, for a decade. Here, we overview its conceptual foundations, methodological approaches and insights, together with challenges the field is facing currently. 2. Macrophysiology builds on approaches that investigate the ecological and evolutionary significance of physiological trait variation and feedbacks in these processes. One of its key strengths is its ability to provide a basis for examining interactions among the intraspecific, interspecific and assemblage levels. 3. Macrophysiology is distinct from and typically concerns larger spatial and temporal scales than conservation physiology, whereas it is in several respects similar to, but antecedes, functional biogeography. Contrary to some claims, macrophysiology is not concerned only with the implications for geographic ranges of physiological trait variation. 5. Several insights, which would not otherwise have been achieved, have arisen from the field, notably the understanding of variation in global patterns of upper and lower lethal temperature limits and organism performance, which have important implications for forecasting the impacts of climate change. 6. Ten major challenges are identified for the field of macroecology, including better integration of approaches and information for plants and animals. Nonetheless, the prospects for macrophysiology as a significant way to understand our world remain bright.",10.1111/1365-2435.12510,2016,J,"Chown, SL; Gaston, KJ",FUNCTIONAL ECOLOGY,0,1,,,,,,,,,,,,,,,,,,,,,,,,"Additional review: discusses application of leaf economic traits to environmental patterns, but does not display data relating traits to drivers","COLE: agree not relevant, focus is on specific type of science, not traits",CB
"National forest inventories as a tool for understanding the evolution, maintenance and functioning of species diversity","Although national forest inventories (NFIs) appeared with the aim of administrate and manage timber resources, its use has been generalised among ecologists. NFIs have been currently proved as very useful tools to understand forest responses to multiple drivers of global change. However, NFIs also allow answering other more fundamental questions in ecology related to understanding the origin, maintenance, and functioning of species diversity. Thanks to the comprehensive and georeferenced information that NFIs present for local communities along broad environmental gradients, they can serve to foster the emergent field of functional biogeography, which aims to understand the factors, mechanisms, and processes explaining the geographic distribution of species through their functional traits. Equally important, NFIs allow investigating differences in species' niche through their competitive responses, and which can be the structural, environmental and functional predictors of these niche differences. Finally, NFIs can serve to study the effects of species diversity in the provision of multiple ecosystem services resulting not only from tree species and other trophic levels but also from forest soils. Despite their enormous potential, NFIs are limited in several aspects, which would be desirable to solve in the near future including lack of homogeneity of sampling protocols between countries, limitation in the data accessibility, linkages between soil and tree data, and inclusion of intra-specific variation in functional traits.",10.7818/ECOS.2016.25-3.09,2016,J,"Godoy, O; Rueda, M",ECOSISTEMAS,0,,,,,,,,,,,,,,,,,,,,,,,,,Could not find English version for review,"COLE: I also looked, couldn't find english version",CB
Organismic-Scale Remote Sensing of Canopy Foliar Traits in Lowland Tropical Forests,"Airborne high fidelity imaging spectroscopy (HiFIS) holds great promise for bridging the gap between field studies of functional diversity, which are spatially limited, and satellite detection of ecosystem properties, which lacks resolution to understand within landscape dynamics. We use Carnegie Airborne Observatory HiFIS data combined with field collected foliar trait data to develop quantitative prediction models of foliar traits at the tree-crown level across over 1000 ha of humid tropical forest. We predicted foliar leaf mass per area (LMA) as well as foliar concentrations of nitrogen, phosphorus, calcium, magnesium and potassium for canopy emergent trees (R-2: 0.45-0.67, relative RMSE: 11%-14%). Correlations between remotely sensed model coefficients for these foliar traits are similar to those found in laboratory studies, suggesting that the detection of these mineral nutrients is possible through their biochemical stoichiometry. Maps derived from HiFIS provide quantitative foliar trait information across a tropical forest landscape at fine spatial resolution, and along environmental gradients. Multi-nutrient maps implemented at the fine organismic scale will subsequently provide new insight to the functional biogeography and biological diversity of tropical forest ecosystems.",10.3390/rs8020087,2016,J,"Chadwick, KD; Asner, GP",REMOTE SENSING,0,,,,,,,,,,,,,,,,,,,,,,,,,Description of new remote sensing trait quantification method but no relation to enviro filters,COLE: Agree,CB
Functional biogeography of dietary strategies in birds,"Aim Diet is key to understanding resource use by species, their relationships with their environment and biotic interactions. We aimed to identify the major strategies that shape the diet space of birds and to investigate their spatial distributions in association with biogeographical, bioclimatic and anthropogenic drivers. Location Global. Time period Current. Major taxa studied Birds. Methods We analysed score-based assessments of eight diet categories for 8,937 out of 10,964 extant bird species. We constructed a multivariate diet space by ordinating these data in a principal coordinates analysis and assessed its dimensionality as a balance between the representation of original diet scores and parsimony. We averaged the positions of species along each dimension for 12,705 species assemblages and used quantile regressions to infer the relative contributions of species richness, climate, primary productivity, topography and human footprint to the spatial distribution of the diet space at a global scale. Results The diet space of birds was structured by four dimensions ordinating species along continua ranging from insectivory to plant-based strategies, granivory to frugivory, common to rare diets, and nectarivory to carnivory and piscivory. Although orthogonal at the species level, these dimensions were correlated among species assemblages, with regional variation consistent with past climatic and tectonic events. Human footprint packed bird assemblages in the diet space, whereas warm climate, high productivity and high topographic variability were associated with high variability in the prevalence of dietary strategies among assemblages. Main conclusions The tremendous variability in bird diets can be explained by a few basic ecological continua sustained by morphological and ecophysiological differences among species. Strong biogeographical legacies on top of bioclimatic drivers distribute this diet space in species assemblages through environmental filtering and niche packing. However, these patterns are altered at macroecological scales by human-mediated functional homogenization, which might, in turn, affect the global distribution of bird functions and services.",10.1111/geb.12910,2019,J,"Barnagaud, JY; Mazet, N; Munoz, F; Grenie, M; Denelle, P; Sobral, M; Kissling, WD; Sekercioglu, CH; Violle, C",GLOBAL ECOLOGY AND BIOGEOGRAPHY,1,0,1,0,0,1,0,observational,terrestrial,birds,global,diet,0,0,0,0,1,0,0,1,1,0,0,0,0,,COLE: recommend changing trait to simply 'diet',CB
"Associations between habitat quality, body size and reproductive fitness in the alpine endemic spider Vesubia jugorum","Aim In theory, the highest-quality habitat across a species' range should support individuals with the highest fitness, making it possible to evaluate the outputs of species distribution models (SDMs) by exploring the relationship between habitat quality and functional traits related to species' fitness. However, this relationship has been tested almost exclusively in plants. We investigated the degree to which morphological and reproductive traits of an alpine spider varied along a gradient of habitat quality projected via SDMs. Location South-western Alps (France and Italy). Time period 2007-2018. Major taxa studied Vesubia jugorum (Arachnida: Araneae: Lycosidae). Methods We used climatic, topographical and geomorphological variables at a resolution of 250 m to model habitat quality for V. jugorum, with multiple algorithms (generalized additive models, boosted regression trees and maximum entropy models). We collected spiders in the field and measured their body size and egg-case size (a functional trait related to reproductive success). We tested the relationship between functional traits and habitat quality with linear mixed models. Results All SDM algorithms we tested fit the data well, with similar explanatory ability. Models revealed a positive relationship between the probability of presence and cumulative precipitation and percentage of rock. An additional important variable in the SDMs was duration of snow coverage, with optimal projected habitat quality between 40 and 100 days/year with snow. Modelled habitat quality was positively associated with maximum body and egg-case size. Main conclusions Our work provides evidence of a positive association between projected habitat quality and traits of a terrestrial invertebrate. A model that fits the data well potentially can be used to predict variations in species' traits, thus offering an experimental test of SDM projections with field-collected data. We encourage SDM users to incorporate data on functional traits into their modelling fitting exercises.",10.1111/geb.12935,2019,J,"Mammola, S; Milano, F; Vignal, M; Andrieu, J; Isaia, M",GLOBAL ECOLOGY AND BIOGEOGRAPHY,1,0,1,0,0,1,0,observational,terrestrial,invertebrates,Alps (France/Italy),body size; egg-case size,0,1,0,1,0,1,0,1,0,species distribution,1,0,0,,,CB
