Author,Year,Title,Journal,Abstract,DOI,Relevant to Study,Review,Observational,Experiment,Metanalysis,QModel,TModel,Type of study,Ecosystem,Taxonomic,System,NEWPhysiological,Morphological,Physiological,Life History,Behavioural,Trait Types,Trait Diversity,Fundamental,Physical,Ecological,IntraspecificTraits,InterspecificTraits,Trophic,Level of Prediction Possible,Forecasting/Predictive,Global Change Driver,Comparison Btwn Approaches,Further Review,Into Text,Went Into Text,Notes,
"Muscarella, Robert; Lohbeck, Madelon; Martinez-Ramos, Miguel; Poorter, Lourens; Enrique Rodriguez-Velazquez, Jorge; van Breugel, Michiel; Bongers, Frans",2017,Demographic drivers of functional composition dynamics,ECOLOGY,"Mechanisms of community assembly and ecosystem function are often analyzed using community-weighted mean trait values (CWMs). We present a novel conceptual framework to quantify the contribution of demographic processes (i.e., growth, recruitment, and mortality) to temporal changes in CWMs. We used this framework to analyze mechanisms of secondary succession in wet tropical forests in Mexico. Seed size increased over time, reflecting a trade-off between colonization by small seeds early in succession, to establishment by large seeds later in succession. Specific leaf area (SLA) and leaf phosphorus content decreased over time, reflecting a trade-off between fast growth early in succession vs. high survival late in succession. On average, CWM shifts were driven mainly (70%) by growth of surviving trees that comprise the bulk of standing biomass, then mortality (25%), and weakly by recruitment (5%). Trait shifts of growing and recruiting trees mirrored the CWM trait shifts, and traits of dying trees did not change during succession, indicating that these traits are important for recruitment and growth, but not for mortality, during the first 30yr of succession. Identifying the demographic drivers of functional composition change links population dynamics to community change, and enhances insights into mechanisms of succession.",10.1002/ecy.1990,Y,0,1,0,0,1,0,Multiple,Terrestrial,Plants,Seasonal Tropical Forest,0,1,0,0,0,Single,1,1,0,1,,,0,Multiple,0,0,0,0,1,1,"traits = wood density, seed volume, SLA, leaf P concentration",
"Myster, RW; Thomlinson, JR; Larsen, MC",1997,Predicting landslide vegetation in patches on landscape gradients in Puerto Rico,LANDSCAPE ECOLOGY,"We explored the predictive value of common landscape characteristics for landslide vegetative stages in the Luquillo Experimental Forest of Puerto Rico using four different analyses. Maximum likelihood logistic regression showed that aspect, age, and substrate type could be used to predict vegetative structural stage. In addition it showed that the structural complexity of the vegetation was greater in landslides (1) facing the southeast (away from the dominant wind direction of recent hurricanes), (2) that were older, and (3) that had volcaniclastic rather than dioritic substrate. Multiple regression indicated that both elevation and age could be used to predict the current vegetation, and that vegetation complexity was greater both at lower elevation and in older landslides. Pearson product-moment correlation coefficients showed that (1) the presence of volcaniclastic substrate in landslides was negatively correlated with aspect, age, and elevation, (2) that road association and age were positively correlated, and (3) that slope was negatively correlated with area. Finally, principal components analysis showed that landslides were differentiated on axes defined primarily by age, aspect class, and elevation in the positive direction, and by volcaniclastic substrate in the negative direction. Because several statistical techniques indicated that age, aspect, elevation, and substrate were important in determining vegetation complexity on landslides, we conclude that landslide succession is influenced by variation in these landscape traits. In particular, we would expect to find more successional; development on landslides which are older, face away from hurricane winds, are at lower elevation, and are on volcaniclastic substrate. Finally, our results lead into a hierarchical conceptual model of succession on landscapes where the biota respond first to either gradients or disturbance depending on their relative severity, and then to more local biotic mechanisms such as dispersal, predation and competition.",10.1023/A:1007942804047,N,,,,,,,Multiple,,,,,,,,,Multiple,0,,,,,,,Multiple,,,,,0,,,
"Nadelhoffer, Thomas; Bibas, Stephanos; Grafton, Scott; Kiehl, Kent A.; Mansfield, Andrew; Sinnott-Armstrong, Walter; Gazzaniga, Michael",2012,"Neuroprediction, Violence, and the Law: Setting the Stage",NEUROETHICS,"In this paper, our goal is to (a) survey some of the legal contexts within which violence risk assessment already plays a prominent role, (b) explore whether developments in neuroscience could potentially be used to improve our ability to predict violence, and (c) discuss whether neuropredictive models of violence create any unique legal or moral problems above and beyond the well worn problems already associated with prediction more generally. In ""Violence Risk Assessment and the Law"", we briefly examine the role currently played by predictions of violence in three high stakes legal contexts: capital sentencing (""Violence Risk Assessment and Capital Sentencing""), civil commitment hearings (""Violence Risk Assessment and Civil Commitment""), and ""sexual predator"" statutes (""Violence Risk Assessment and Sexual Predator Statutes""). In ""Clinical vs. Actuarial Violence Risk Assessment"", we briefly examine the distinction between traditional clinical methods of predicting violence and more recently developed actuarial methods, exemplified by the Classification of Violence Risk (COVR) software created by John Monahan and colleagues as part of the MacArthur Study of Mental Disorder and Violence [1]. In ""The Neural Correlates of Psychopathy"", we explore what neuroscience currently tells us about the neural correlates of violence, using the recent neuroscientific research on psychopathy as our focus. We also discuss some recent advances in both data collection (""Cutting-Edge Data Collection: Genetically Informed Neuroimaging"") and data analysis (""Cutting-Edge Data Analysis: Pattern Classification"") that we believe will play an important role when it comes to future neuroscientific research on violence. In ""The Potential Promise of Neuroprediction"", we discuss whether neuroscience could potentially be used to improve our ability to predict future violence. Finally, in ""The Potential Perils of Neuroprediction"", we explore some potential evidentiary (""Evidentiary Issues""), constitutional (""Constitutional Issues""), and moral (""Moral Issues"") issues that may arise in the context of the neuroprediction of violence.",10.1007/s12152-010-9095-z,N,,,,,,,Multiple,,,,,,,,,Multiple,0,,,,,,,Multiple,,,,,0,,,
"Nagelkerke, LAJ; Rossberg, AG",2014,"Trophic niche-space imaging, using resource and consumer traits",THEORETICAL ECOLOGY,"The strength of trophic (feeding) links between two species depends on the traits of both the consumer and the resource. But which traits of consumer and resource have to be measured to predict link strengths, and how many? A novel theoretical framework for systematically determining trophic traits from empirical data was recently proposed. Here we demonstrate this approach for a group of 14 consumer fish species (Labeobarbus spp., Cyprinidae) and 11 aquatic resource categories coexisting in Lake Tana in northern Ethiopia, analysing large sets of phenotypic consumer and resource traits with known roles in feeding ecology. We systematically reconstruct structure and geometry of trophic niche space, in which link strengths are predicted by the distances between consumers and resources. These distances are then represented graphically resulting in an image of trophic niche space and its occupancy. We find trophic niche to be multidimensional. Among the models we analysed, one with two resource and two consumer traits had the highest predictive power for link strength. Results further suggest that trophic niche space has a pseudo-Euclidean geometry, meaning that link strength decays with distance in some dimensions of trophic niche space, while it increases with distance in other dimensions. Our analysis not only informs theory and modelling but may also be helpful for predicting trophic link strengths for pairs of other, similar species.",10.1007/s12080-014-0229-5,Y,0,0,0,0,0,1,Single,Marine,Fish,Broad,1,1,0,1,1,Multiple,3,0,0,1,,,1,Multiple,0,0,0,0,1,1,"traits  = fork length, anterior barbel length, eye diameter, body depth, body depth/width ratio, oral gape/body area ratio, caudal peducle dpeth, Oral gape axis, Protrusion length, Lower jaw length, Pharyngoopercular volume, Head length, Postorbital length ,Gill arch resistance ,Oral gape diameter, Gill raker length, Gill raker profile, Gut length, max diameter, escape velocity, shape, habitat, chemcial composition, strength, compliance, fibrouses, toughness, requiring macro-reduction, requiring microreduction",
"Nagy, DD; Magura, T; Horvath, R; Debnar, Z; Tothmeresz, B",2018,Arthropod assemblages and functional responses along an urbanization gradient: A trait-based multi-taxa approach,URBAN FORESTRY & URBAN GREENING,"Urbanization causes considerable alteration across a wide range of ecosystem functions at regional and global scales. These changes could be key drivers of habitat stability and ecosystem services in urban greenspaces. The aim of this study was to test the influence of urbanization on taxonomic and functional diversities of arthropods of different trophic levels. We collected predator spiders, polyphagous rove beetles, and decomposer woodlice along a rural-suburban-urban gradient by litter sifting. Neither the taxonomic, nor the functional diversity (Rao's quadratic entropy) using a morphological trait (body size) and ecological traits (habitat affinity, humidity preference, and disturbance sensitivity) of the spiders were significantly different along the urbanization gradient. For rove beetles, taxonomic diversity was significantly higher in rural sites compared to suburban and urban ones, while functional diversity did not differ significantly between sites. Both the taxonomic and the functional diversities of woodlice were significantly higher in the rural sites than in the suburban or urban sites. Detrended canonical correspondence analysis also showed that urbanization did not cause considerably changes in composition of spider assemblages, while rove beetle and woodlouse assemblages showed clear separation between rural and urban sites. This study pointed out that trophic levels may be a crucial driver of the responses to urbanization. Our results suggest that urbanization has a less harmful effect on predator spiders, as they can easily recolonize the managed urban greenspaces. Contrarily, recolonization of arthropods at lower trophic levels (rove beetles and woodlice) into the urban habitats is considerably restricted.",10.1016/j.ufug.2018.01.002,Y,0,1,0,0,0,0,Single,Terrestrial,Insects,Urban ,1,1,0,1,1,Multiple,3,1,0,0,,,0,Single,0,Habitat Degredation,0,0,1,,"traits = body size, habitat affinity, humidity preference, disturbance sensitivity",
"Naithani, KJ; Ewers, BE; Adelman, JD; Siemens, DH",2014,Abiotic and biotic controls on local spatial distribution and performance of Boechera stricta,FRONTIERS IN PLANT SCIENCE,"This study investigates the relative influence of biotic and abiotic factors on community dynamics using an integrated approach and highlights the influence of space on genotypic and phenotypic traits in plant community structure. We examined the relative influence of topography, environment, spatial distance, and intra- and interspecific interactions on spatial distribution and performance of Boechera stricta (rockcress), a close perennial relative of model plant Arabidopsis. First, using Bayesian kriging, we mapped the topography and environmental gradients and explored the spatial distribution of naturally occurring rockcress plants and two neighbors, Taraxacum officinale (dandelion) and Solidago missouriensis (goldenrod) found in close proximity within a typical diverse meadow community across topographic and environmental gradients. We then evaluated direct and indirect relationships among variables using Mantel path analysis and developed a network displaying abiotic and biotic interactions in this community. We found significant spatial autocorrelation among rockcress individuals, either because of common microhabitats as displayed by high density of individuals at lower elevation and high soil moisture area, or limited dispersal as shown by significant spatial autocorrelation of naturally occurring inbred lines, or a combination of both. Goldenrod and dandelion density around rockcress does not show any direct relationship with rockcress fecundity, possibly due to spatial segregation of resources. However, dandelion density around rockcress shows an indirect negative influence on rockcress fecundity via herbivory, indicating interspecific competition. Overall, we suggest that common microhabitat preference and limited dispersal are the main drivers for spatial distribution. However, intra-specific interactions and insect herbivory are the main drivers of rockcress performance in the meadow community.",10.3389/fpls.2014.00348,N,,,,,,,Multiple,,,,,,,,,Multiple,0,,,,,,,Multiple,,,,,0,,,
"Nakajima, T",1998,Ecological mechanisms of evolution by natural selection: Causal processes generating density-and-frequency dependent fitness,JOURNAL OF THEORETICAL BIOLOGY,"The current theory of natural selection explains that adaptive evolution occurs because genotypes with greater survival or reproductive tendencies, due to their particular biological properties, tend to increase in frequency over the lesser ones in a common environment; therefore, the former will eventually replace the latter. In nature, such a selection process most often occurs in a local population which is nested in a community involving local ecological dynamics which are not clearly articulated in the explanatory scheme of the theory. This paper seeks to explicate such an ecological process giving rise to the evolution of a local population with a particular focus on dynamic effects of an increase in the number of invasive, new types on the fate of old ones. Arguments using the ecological-mechanistic model, representing negative interactions among alternative types of organisms, suggest major ecological mechanisms by which the new replace the old; a selective increase in the number of one type leads to a decrease in the equilibrial abundance of a limiting resource, an increase in the density of conspecifics, and/or an increase in the density of predators, which would in turn lower the per capita reproductive rate, or raise the mortality rate of another and make it extinct. Thus, replacement due to selection is associated with such dynamic shifts in equilibria occurring in a local community. The analysis of three (a resource, a prey and a predator) and four species (those plus a top predator) models suggests that evolutionary processes cannot be predicted without reference to the web structure of the community, that some fitness components causing a selective increase in a particular type can have, in some cases, nothing to do with factors causing selective decreases in alternatives, and that evolution of some traits can occur without resource competition. (C) 1998 Academic Press Limited.",10.1006/jtbi.1997.0554,N,,,,,,,Multiple,,,,,,,,,Multiple,0,,,,,,,Multiple,,,,,0,,,
"Nakajima, T; Fujikawa, Y; Matsubara, T; Karita, M; Sano, A",2015,Differentiation of a free-living alga into forms with ecto- and endosymbiotic associations with heterotrophic organisms in a 5-year microcosm culture,BIOSYSTEMS,"The ecological mechanisms underlying the diversification of autotrophic species into endosymbiotic lifestyles and the ways in which the evolution of endosymbiotic species is ecologically and evolutionarily affected by sister lineages/lines that are adapted to extra-host environments remain unclear. In this paper, we investigated a differentiation process of algal species in which an endosymbiotic type was differentiated phenotypically from a free-living ancestral clone, by using an experimental model called the CET microcosm, which contains a green alga (Micractinium sp.), a bacterium (Escherichia coli), and a ciliate (Tetrahymena thermophila) cultured together without an external resource supply for over 5 years. We then analyzed the algal diversification process by comparing algal phenotypic properties regarding cell-aggregate formation and their effects on the survival of Tetrahymena (using a clone isolated on day 2668) in the absence of bacteria. We examined 13 Micractinium clones, including both ancestral and derived clones isolated from long-term (day 1819-1847) CET microcosm cultures. The results revealed that the free-living ancestral algal strain diversified in sympatry into an aggregap-forming type that associates with E. coli, and a non-aggregate-forming type that associates with Tetrahymena. Furthermore, a competition experiment revealed that the endosymbiotic (non-aggregate-forming) type was less adapted to the extracellular environment than the aggregate-forming type. This result suggests that severe competition with a nonendosymbiotic sister line in the extra-host environment favors the host-benefiting phenotype in an endosymbiotic line, because such symbionts can enhance the longevity of the host, thereby enabling the survival and reproduction of the symbiont within the host. (C) 2015 Elsevier Ireland Ltd. All rights reserved.",10.1016/j.biosystems.2015.03.005,N,,,,,,,Multiple,,,,,,,,,Multiple,0,,,,,,,Multiple,,,,,0,,,
"NAKAJIMA, T; KURIHARA, Y",1994,EVOLUTIONARY CHANGES OF ECOLOGICAL TRAITS OF BACTERIAL-POPULATIONS THROUGH PREDATOR-MEDIATED COMPETITION .1. EXPERIMENTAL-ANALYSIS,OIKOS,"Microevolutionary dynamics involving changes in both population densities and composition were studied by conducting long-term experimental cultures of the bacterium Escherichia coli and the protozoan Tetrahymena thermophila. We focussed on the mechanisms by which an increase of a mutant with a higher growth rate and/or lower mortality leads to decreases in original phenotypes, with a particular emphasis on ''predator-mediated (apparent) competition''. The bacterial population was cultured together with the protozoan population over a long period of time. These were contrasted with single-species control cultures of E. coli (i.e., without predator) experiencing high density-independent mortality from continual dilution of the population, and also a population with strong density-dependent regulation arising from intraspecific competition. The long-term cultures of predator and prey revealed the following changes: predator density increased for some time after inoculation; correspondingly, the specific growth rate of prey increased, and mutants with the long-cell form (which experience low predation rate) appeared and increased in frequency in the population. Comparison of these results with results from control cultures, suggests that predator-mediated competition existed between mutants and the original types in the predator-prey system, i.e., increases in densities of mutants with higher growth rate and/or lower predation rate in the prey population enhanced the predator equilibrium density, which in turn exerted higher predation pressure on the original prey which then decreased in abundance.",10.2307/3546168,N,,,,,,,Multiple,,,,,,,,,Multiple,0,,,,,,,Multiple,,,,,0,,,
"Nakamura, Yoji; Mori, Kazuki; Saitoh, Kenji; Oshima, Kenshiro; Mekuchi, Miyuki; Sugaya, Takuma; Shigenobu, Yuya; Ojima, Nobuhiko; Muta, Shigeru; Fujiwara, Atushi; Yasuike, Motoshige; Oohara, Ichiro; Hirakawa, Hideki; Chowdhury, Vishwajit Sur; Kobayashi, Takanori; Nakajima, Kazuhiro; Sano, Motohiko; Wada, Tokio; Tashiro, Kosuke; Ikeo, Kazuho; Hattori, Masahira; Kuhara, Satoru; Gojobori, Takashi; Inouye, Kiyoshi",2013,Evolutionary changes of multiple visual pigment genes in the complete genome of Pacific bluefin tuna,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"Tunas are migratory fishes in offshore habitats and top predators with unique features. Despite their ecological importance and high market values, the open-ocean lifestyle of tuna, in which effective sensing systems such as color vision are required for capture of prey, has been poorly understood. To elucidate the genetic and evolutionary basis of optic adaptation of tuna, we determined the genome sequence of the Pacific bluefin tuna (Thunnus orientalis), using next-generation sequencing technology. A total of 26,433 protein-coding genes were predicted from 16,802 assembled scaffolds. From these, we identified five common fish visual pigment genes: red-sensitive (middle/long-wavelength sensitive; M/LWS), UV-sensitive (short-wavelength sensitive 1; SWS1), blue-sensitive (SWS2), rhodopsin (RH1), and green-sensitive (RH2) opsin genes. Sequence comparison revealed that tuna's RH1 gene has an amino acid substitution that causes a short-wave shift in the absorption spectrum (i.e., blue shift). Pacific bluefin tuna has at least five RH2 paralogs, the most among studied fishes; four of the proteins encoded may be tuned to blue light at the amino acid level. Moreover, phylogenetic analysis suggested that gene conversions have occurred in each of the SWS2 and RH2 loci in a short period. Thus, Pacific bluefin tuna has undergone evolutionary changes in three genes (RH1, RH2, and SWS2), which may have contributed to detecting blue-green contrast and measuring the distance to prey in the blue-pelagic ocean. These findings provide basic information on behavioral traits of predatory fish and, thereby, could help to improve the technology to culture such fish in captivity for resource management.",10.1073/pnas.1302051110,Y,0,0,1,0,0,0,Single,Marine,Fish,Continental Shelf,0,1,0,0,0,Single,1,0,0,0,,,1,Single,0,0,0,0,1,1,traits = vision ability,
"Nakayama, S; Rapp, T; Arlinghaus, R",2017,Fast-slow life history is correlated with individual differences in movements and prey selection in an aquatic predator in the wild,JOURNAL OF ANIMAL ECOLOGY,"1. Fast and slow life histories are proposed to covary with consistent individual differences in behaviour, but little is known whether it holds in the wild, where individuals experience natural fluctuations of the environment. 2. We investigated whether individual differences in behaviour, such as movement traits and prey selection, are linked to variation in life-history traits in Eurasian perch (Perca fluviatilis) in the wild. 3. Using high-resolution acoustic telemetry, we collected the positional data of fish in a whole natural lake and estimated individual movement traits by fitting a two-state correlated random walk model. Prey selection was inferred from stable isotope analysis using scale samples. Life-history traits were estimated by fitting a biphasic growth model to an individual growth trajectory back-calculated from scale samples. 4. Life-history traits were correlated with behavioural traits such as movements and prey selection. Individuals with higher reproductive effort were found to switch more frequently between active and inactive modes and show greater reliance on prey from pelagic pathways (indicated by lower delta C-13). Further, individuals with faster juvenile growth were found to stay active for a longer time during the adult stage. 5. Our results demonstrate the link between individual behavioural differences and fast-slow life-history traits under ecologically relevant conditions.",10.1111/1365-2656.12603,Y,0,1,0,0,1,1,Multiple,Freshwater,Fish,Lake,0,0,0,1,0,Single,1,0,0,0,,,1,Single,0,0,0,0,1,1,"traits = juvenile growth rate, reproductive effort, age at maturity. ",
"Narwani, Anita; Alexandrou, Markos A.; Herrin, James; Vouaux, Alaina; Zhou, Charles; Oakley, Todd H.; Cardinale, Bradley J.",2015,Common Ancestry Is a Poor Predictor of Competitive Traits in Freshwater Green Algae,PLOS ONE,"Phytoplankton species traits have been used to successfully predict the outcome of competition, but these traits are notoriously laborious to measure. If these traits display a phylogenetic signal, phylogenetic distance (PD) can be used as a proxy for trait variation. We provide the first investigation of the degree of phylogenetic signal in traits related to competition in freshwater green phytoplankton. We measured 17 traits related to competition and tested whether they displayed a phylogenetic signal across a molecular phylogeny of 59 species of green algae. We also assessed the fit of five models of trait evolution to trait variation across the phylogeny. There was no significant phylogenetic signal for 13 out of 17 ecological traits. For 7 traits, a non-phylogenetic model provided the best fit. For another 7 traits, a phylogenetic model was selected, but parameter values indicated that trait variation evolved recently, diminishing the importance of common ancestry. This study suggests that traits related to competition in freshwater green algae are not generally well-predicted by patterns of common ancestry. We discuss the mechanisms by which the link between phylogenetic distance and phenotypic differentiation may be broken.",10.1371/journal.pone.0137085,N,,,,,,,Multiple,,,,,,,,,Multiple,0,,,,,,,Multiple,,,,,0,,,
"Nascimbene, J; Mayrhofer, H; Dainese, M; Bilovitz, PO",2017,Assembly patterns of soil-dwelling lichens after glacier retreat in the European Alps,JOURNAL OF BIOGEOGRAPHY,"AimTo assess the spatial-temporal dynamics of primary succession following deglaciation in soil-dwelling lichen communities. LocationEuropean Alps (Austria, Switzerland and Italy). MethodsFive glacier forelands subjected to relevant glacier retreat during the last century were investigated. In each glacier foreland, three successional stages were selected at increasing distance from the glacier, corresponding to a gradient of time since deglaciation between 25 and 160years. In each successional stage, soil-dwelling lichens were surveyed within five 1x1m plots. In addition to a classical ecological framework, based on species richness and composition, we applied a functional approach to better elucidate community assembly mechanisms. ResultsA positive relationship was found between species richness and time since deglaciation indicating that richer lichen communities can be found at increasing terrain ageing. This pattern was associated with compositional shifts, suggesting that different community assemblages can be found along the successional stages. The analysis of -diversity revealed a significant nested pattern of species assemblages along the gradient (i.e. earlier successional stages hosted a subset of the species already established in older successional stages), while the turnover component was less relevant. Considering functional groups, we found contrasting patterns in relation to time since deglaciation: the incidence of species with a cyanobacterial photobiont and those reproducing by spores decreased, while that of species reproducing by vegetative propagules increased. Main conclusionsThis study reveals that community assembly patterns of soil-dwelling lichens in alpine glacier forelands are ruled by mechanisms of directional species accumulation and trait selection that involve a trade-off between different functional strategies. Functional traits that reflect the dispersal and adaptation capability of the species underpin the colonization success of soil-dwelling lichens in glacier forelands.",10.1111/jbi.12970,Y,0,1,0,0,0,0,Single,Terrestrial,Other,Alpine,0,0,0,1,0,Single,1,1,0,1,,,0,Multiple,0,Climate Change,0,0,1,1,"taxonomic = lichens, traits = reproductive strategy, ",
"Ndiribe, C; Pellissier, L; Antonelli, S; Dubuis, A; Pottier, J; Vittoz, P; Guisan, A; Salamin, N",2013,Phylogenetic plant community structure along elevation is lineage specific,ECOLOGY AND EVOLUTION,"The trend of closely related taxa to retain similar environmental preferences mediated by inherited traits suggests that several patterns observed at the community scale originate from longer evolutionary processes. While the effects of phylogenetic relatedness have been previously studied within a single genus or family, lineage-specific effects on the ecological processes governing community assembly have rarely been studied for entire communities or flora. Here, we measured how community phylogenetic structure varies across a wide elevation gradient for plant lineages represented by 35 families, using a co-occurrence index and net relatedness index (NRI). We propose a framework that analyses each lineage separately and reveals the trend of ecological assembly at tree nodes. We found prevailing phylogenetic clustering for more ancient nodes and overdispersion in more recent tree nodes. Closely related species may thus rapidly evolve new environmental tolerances to radiate into distinct communities, while older lineages likely retain inherent environmental tolerances to occupy communities in similar environments, either through efficient dispersal mechanisms or the exclusion of older lineages with more divergent environmental tolerances. Our study illustrates the importance of disentangling the patterns of community assembly among lineages to better interpret the ecological role of traits. It also sheds light on studies reporting absence of phylogenetic signal, and opens new perspectives on the analysis of niche and trait conservatism across lineages.",10.1002/ece3.868,N,,,,,,,Multiple,,,,,,,,,Multiple,0,,,,,,,Multiple,,,,,0,1,,
"Ndiribe, Charlotte; Pellissier, Loic; Dubuis, Anne; Vittoz, Pascal; Salamin, Nicolas; Guisan, Antoine",2014,Plant functional and phylogenetic turnover correlate with climate and land use in the Western Swiss Alps,JOURNAL OF PLANT ECOLOGY,"AimsUnderstanding the relative importance of historical and environmental processes in the structure and composition of communities is one of the longest quests in ecological research. Increasingly, researchers are relying on the functional and phylogenetic beta-diversity of natural communities to provide concise explanations on the mechanistic basis of community assembly and the drivers of trait variation among species. The present study investigated how plant functional and phylogenetic beta-diversity change along key environmental and spatial gradients in the Western Swiss Alps.MethodsUsing the quadratic diversity measure based on six functional traits-specific leaf area, leaf dry matter content, plant height, leaf carbon content, leaf nitrogen content and leaf carbon to nitrogen content alongside a species-resolved phylogenetic tree-we relate variations in climate, spatial geographic, land use and soil gradients to plant functional and phylogenetic turnover in mountain communities of the Western Swiss Alps.Important FindingsOur study highlights two main points. First, climate and land-use factors play an important role in mountain plant community turnover. Second, the overlap between plant functional and phylogenetic turnover along these gradients correlates with the low phylogenetic signal in traits, suggesting that in mountain landscapes, trait lability is likely an important factor in driving plant community assembly. Overall, we demonstrate the importance of climate and land-use factors in plant functional and phylogenetic community turnover and provide valuable complementary insights into understanding patterns of beta-diversity along several ecological gradients.",10.1093/jpe/rtt064,Y,0,1,0,0,0,0,Single,Terrestrial,Plants,Alpine,0,1,0,0,0,Single,1,1,0,0,,,0,Single,0,0,0,0,1,1,"traits = leaf carbon content (C), leaf nitrogen content (N),
the ratio between leaf carbon and nitrogen content (C/N), leaf
dry matter content (LDMC) measured as the ratio of leaf dry
mass to its water-saturated fresh mass (in mm g−1), specific
leaf area (SLA) measured as the ratio of leaf surface to its dry
mass (in mm2 mg−1), and plant height (H in cm)",
"Nelson, Annika S.; Pratt, Riley T.; Pratt, Jessica D.; Smith, Richard Alexander; Symanski, Cole T.; Prenot, Cathrine; Mooney, Kailen A.",2019,Progressive sensitivity of trophic levels to warming underlies an elevational gradient in ant-aphid mutualism strength,OIKOS,"Although species interactions are often proposed to be stronger at lower latitudes and elevations, few studies have evaluated the mechanisms driving such patterns. In this study, we assessed whether, and by which mechanisms, abiotic changes associated with elevation altered the outcome of an ant-aphid protection mutualism. To do so, we characterized the multi-trophic interactions among the ant Formica podzolica, the aphid Aphis varians, and aphid natural enemies occurring on the plant Chamerion angustifolium within replicate high and low elevation valleys. Low (versus high) elevation sites had longer summers (snowmelt 13 days earlier) and were on average 1.1 degrees C warmer and 41% drier throughout the year. At low elevations, individual ant colonies consumed approximately double the volume of carbohydrate baits, likely due to a higher foraging tempo, and possibly due to a greater demand for sugar- versus protein-rich resources (as indicated by stable isotope analysis). Wild aphid colonies at low elevations were visited by 1.4-fold more natural enemies (controlling for variation in aphid abundance), while experimental aphid colonies on potted plants were tended 52% more frequently by ants. As a result, ants increased aphid colony survival by 66% at low elevations but had no detectable effect at high elevations; at low (versus high) elevations aphid colonies without ants had lower survival, demonstrating stronger predator effects, while aphid colonies with ants had higher survival, demonstrating even stronger ant benefits. Analyses for the effects of mean summer temperature yielded qualitatively identical results to those based on elevation. Collectively, these findings support predictions for a greater sensitivity of higher trophic levels to warming and demonstrate how species interactions can vary across environmental gradients due to simultaneous changes in species traits and abundances across multiple trophic levels.",10.1111/oik.05650,Y,0,1,0,0,0,0,Single,Terrestrial,Insects,Alpine,0,0,0,0,1,Single,1,1,0,0,,,1,Multiple,0,0,0,0,1,1,traits = diet (via stable iso),
"Nemeth, DC; Ammagarahalli, B; Layne, JE; Rollmann, SM",2018,Evolution of coeloconic sensilla in the peripheral olfactory system of Drosophila mojavensis,JOURNAL OF INSECT PHYSIOLOGY,"Populations inhabiting habitats with different environmental conditions, such as climate, resource availability, predation, competition, can undergo selection for traits that are adaptive in one habitat and not the other, leading to divergence between populations. Changes in the olfactory systems of insects that rely on different host plants, for example, can occur in response to differences in sensory stimuli between habitats. In this study, we investigate the evolution of host preference by characterizing the coeloconic sensilla in Drosophila mojavensis, a species that breeds on different necrotic cacti across its geographic range. These cactus species differ in the volatile chemicals they emit, a primary sensory cue for host plant discrimination. Analysis of odor-evoked responses identified four coeloconic sensilla that were qualitatively similar to those of Drosophila melanogaster, but varied in the breadth and strength of their olfactory sensory neuron responses to some acids and amines. Variation in responses to certain odorants among D. mojavensis populations was also observed. Compared to D. melanogaster, there was a lack of sensitivity of antennal coeloconic type 3 (ac3) sensilla to primary ligands of OR35a across all populations. Consistent with this result was a lack of detectable Or35a gene expression. Using a comparative approach, we then examined odor specificity of ac3 sensilla for seven additional Drosophila species, and found that OR35a-like sensitivity may be limited to the melanogaster subgroup. The variation in specificity that was observed among species is not clearly attributable to the degree of ecological specialization, nor to the ecological niche.",10.1016/j.jinsphys.2018.08.003,N,,,,,,,Multiple,,,,,,,,,Multiple,0,,,,,,,Multiple,,,,,0,,,
"Newbold, Tim; Scharlemann, Joern P. W.; Butchart, Stuart H. M.; Sekercioglu, Cagan H.; Alkemade, Rob; Booth, Hollie; Purves, Drew W.",2013,Ecological traits affect the response of tropical forest bird species to land-use intensity,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"Land-use change is one of the main drivers of current and likely future biodiversity loss. Therefore, understanding how species are affected by it is crucial to guide conservation decisions. Species respond differently to land-use change, possibly related to their traits. Using pan-tropical data on bird occurrence and abundance across a human land-use intensity gradient, we tested the effects of seven traits on observed responses. A likelihood-based approach allowed us to quantify uncertainty in modelled responses, essential for applying the model to project future change. Compared with undisturbed habitats, the average probability of occurrence of bird species was 7.8 per cent and 31.4 per cent lower, and abundance declined by 3.7 per cent and 19.2 per cent in habitats with low and high human land-use intensity, respectively. Five of the seven traits tested affected the observed responses significantly: long-lived, large, non-migratory, primarily frugivorous or insectivorous forest specialists were both less likely to occur and less abundant in more intensively used habitats than short-lived, small, migratory, non-frugivorous/insectivorous habitat generalists. The finding that species responses to land use depend on their traits is important for understanding ecosystem functioning, because species' traits determine their contribution to ecosystem processes. Furthermore, the loss of species with particular traits might have implications for the delivery of ecosystem services.",10.1098/rspb.2012.2131,Y,0,1,0,1,0,0,Multiple,Terrestrial,Birds,Broad,0,1,0,1,1,Multiple,3,1,0,0,,,0,Single,0,Habitat Degredation,0,0,1,1,"traits = body mass, generation length,
range size, migratory status, habitat affinity, diet and trophic
level",
