Trait,DOI,Primary_classification,Secondary_classification
developmental flexibility,10.1890/13-2036.1,growth,development
developmental time,unknown_10,growth,larval/juvenile stage length
DGH,10.1111/1365-2745.12802,morphology,shape
diameter,10.1016/j.rse.2015.06.010,morphology,size
diameter,10.1111/ele.12081,morphology,size
diameter,10.1007/s10531-014-0843-y,morphology,size
diameter,10.1111/j.1365-2486.2009.01905.x,morphology,size
diameter at breast height,10.1371/journal.pone.0130151,morphology,size
diameter of cone,10.1111/plb.12566,life history,fecundity
diaspore colour,10.1007/s11692-017-9409-8,morphology,coloration
diaspore form,10.1002/ece3.3268,morphology,offspring attribute
diaspore length,10.1007/s10531-014-0742-2,morphology,offspring attribute
diaspore morphology,10.1002/ece3.3268,morphology,offspring attribute
diaspore size,10.1016/j.ncon.2016.09.006,morphology,offspring attribute
diaspore type,10.1111/1365-2664.12037,morphology,offspring attribute
diaspore type,10.1002/ece3.3268,morphology,offspring attribute
diaspore type,10.1007/s10531-014-0742-2,morphology,offspring attribute
diaspore width,10.1007/s10531-014-0742-2,morphology,offspring attribute
diatom guild,10.1016/j.ecolind.20.17.05.066,resource acquisition,NA
dichromatism,10.7717/peerj.3092,morphology,coloration
dicliny,10.1007/s10531-014-0742-2,life history,sex
diel migration,10.1111/1365-2656.12218,activity,migration
diet,10.1016/j.scitotenv.2016.07.227,resource acquisition,diet
diet,10.1111/j.1365-2427.1994.tb01755.x,resource acquisition,diet
diet,10.1002/ecs2.2460,resource acquisition,diet
diet,10.1111/j.1365-2656.2010.01660.x,resource acquisition,diet
diet,10.1111/oik.04712,resource acquisition,diet
diet,10.1016/B978-0-12-396992-7.00001-0,resource acquisition,diet
diet,10.1046/j.1365-2427.2000.00535.x,resource acquisition,diet
diet,10.1098/rspb.2016.1207,resource acquisition,diet
diet,10.1111/evo.12518,resource acquisition,diet
diet,10.1111/j.1469-1795.2012.00528.x,resource acquisition,diet
diet,10.18054/pb.2016.118.3.3924,resource acquisition,diet
diet,unknown_13,resource acquisition,diet
diet,unknown_3,resource acquisition,diet
diet,10.1111/j.1365-2486.2009.01963.x,resource acquisition,diet
diet,10.1016/j.agee.2008.04.011,resource acquisition,diet
diet,10.1111/ddi.12790,resource acquisition,diet
diet,10.1111/j.1461-0248.2008.01255.x,resource acquisition,diet
diet,10.1111/j.1365-2109.2012.03205.x,resource acquisition,diet
diet,10.1186/1471-2148-13-132,resource acquisition,diet
diet,10.1111/gcb.12862,resource acquisition,diet
diet,10.1093/beheco/11.4.452,resource acquisition,diet
diet,10.1038/s41559-017-0426-x,resource acquisition,diet
diet,10.1007/s00442-010-1854-3,resource acquisition,diet
diet,10.1111/jfb.12378,resource acquisition,diet
diet,10.1007/s00442-016-3631-4,resource acquisition,diet
diet,10.3354/meps09086,resource acquisition,diet
diet,10.1002/ece3.1084,resource acquisition,diet
diet,10.1002/eap.1535/full,resource acquisition,diet
diet,10.1890/09-0979.1,resource acquisition,diet
diet,10.1126/science.aac7978,resource acquisition,diet
diet,10.2307/2937081,resource acquisition,diet
diet,10.1098/rspb.2016.1931,resource acquisition,diet
diet,10.1002/ece3.2328,resource acquisition,diet
diet,10.1111/ele.12081,resource acquisition,diet
diet,10.1111/geb.12088,resource acquisition,diet
diet,10.1111/j.1365-2427.1994.tb01756.x,resource acquisition,diet
diet,10.1098/rspb.2012.2131,resource acquisition,diet
diet,10.1111/gcb.12780,resource acquisition,diet
diet,10.1111/ecog.03747,resource acquisition,diet
diet,10.1038/ncomms9877,resource acquisition,diet
diet,10.1111/geb.12567,resource acquisition,diet
diet,10.7717/peerj.3092,resource acquisition,diet
diet,10.1002/ece3.4896,resource acquisition,diet
diet,10.1111/ddi.12785,resource acquisition,diet
diet,unknown_19,resource acquisition,diet
diet,unknown_31,resource acquisition,diet
diet,10.1016/j.anbehav.2017.07.010,resource acquisition,diet
diet,10.1111/j.1366-9516.2005.00169.x,resource acquisition,diet
diet,10.1111/j.1365-2311.2008.01044.x,resource acquisition,diet
diet,10.1111/j.1461-0248.2010.01493.x,resource acquisition,diet
diet,10.1007/s13744-018-0620-9,resource acquisition,diet
diet,10.1111/oik.05650,resource acquisition,diet
diet,10.1111/gcb.14119,resource acquisition,diet
diet,10.1111/j.1095-8649.2012.03294.x,resource acquisition,diet
diet,10.1111/een.1.2425,resource acquisition,diet
diet,10.1046/j.1365-2311.2002.0379a.x,resource acquisition,diet
diet,10.1111/1365-2435.13141,resource acquisition,diet
diet,10.3354/meps10622,resource acquisition,diet
diet,10.1002/eap.1530,resource acquisition,diet
diet,10.1111/jzo.12566,resource acquisition,diet
diet,10.1111/jbi.12574,resource acquisition,diet
diet,10.1016/j.anbehav.2005.05.010,resource acquisition,diet
diet,10.1016/j.marpolbul.2007.10.019,resource acquisition,diet
diet,10.1016/B978-0-12-396992-7.00004-6,resource acquisition,diet
diet,10.1890/14-2326.1.sm,resource acquisition,diet
diet,10.1002/ecs2.2324,resource acquisition,diet
diet,10.1111/geb.12148,resource acquisition,diet
diet breadth,10.1002/eap.1434,resource acquisition,diet
diet breadth,10.1002/aqc.1198,resource acquisition,diet
diet breadth,10.1073/pnas.1401949111,resource acquisition,diet
diet breadth,10.1111/gcb.13736,resource acquisition,diet
diet breadth,10.1111/ecog.02968,resource acquisition,diet
diet breadth,10.1111/1365-2656.12648,resource acquisition,diet
diet breadth,10.1111/ddi.12721,resource acquisition,diet
diet breadth,10.1007/s11160-017-9479-9,resource acquisition,diet
diet breadth,10.1111/ddi.12747,resource acquisition,diet
diet breadth,10.1186/2193-1801-3-630,resource acquisition,diet
diet breadth,10.1111/oik.00707,resource acquisition,diet
diet breadth,10.1890/09-1894.1,resource acquisition,diet
diet breadth,10.1111/ecog.02632,resource acquisition,diet
diet breadth,10.1111/1365-2656.12747,resource acquisition,diet
diet breadth,10.1111/oik.04507,resource acquisition,diet
diet specialization,10.1002/ecy.1802,resource acquisition,diet
dietary breadth,10.1111/geb.12521,resource acquisition,diet
dietary composition,10.1111/1365-2656.13029,resource acquisition,diet
dietary preference category,10.1007/s10682-013-9631-5,resource acquisition,diet
dietary similarity,10.1111/1365-2656.12161,resource acquisition,diet
dietary specialization,10.1111/1365-2656.12161,resource acquisition,diet
dietary specialization,10.1111/1365-2664.12490,resource acquisition,diet
dietary specialization,10.1111/cobi.12378,resource acquisition,diet
dietary specialization,10.1111/mec.14718,resource acquisition,diet
dietary specialization,10.1111/jbi.12823,resource acquisition,diet
difference in movement in the face of a predator,10.1016/j.anbehav.2009.11.024,activity,predator avoidance
difference in movement in the face of a predator,10.1111/j.1365-2656.2007.01284.x,activity,predator avoidance
differentiated teeth,10.1111/1365-2656.12218,morphology,teeth traits
digging,10.3389/fevo.2017.00084,activity,behaviour
dioecious,10.1111/j.1472-4642.2007.00381.x,life history,sex
diploid,10.1111/j.1365-2664.2011.02039.x,morphology,life form
direction of expansion,10.1111/jbi.12808,activity,dispersal
disapore shape,10.1007/s11692-017-9409-8,morphology,offspring attribute
dispersal ability,10.1098/rspb.2000.1010,activity,dispersal
dispersal ability,10.1038/ismej.2017.183,activity,dispersal
dispersal ability,10.1007/s10980-012-9820-6,activity,dispersal
dispersal ability,10.1111/gcb.12355,activity,dispersal
dispersal ability,10.1890/ES12-00262.1,activity,dispersal
dispersal ability,10.1046/j.1365-2427.2000.00535.x,activity,dispersal
dispersal ability,10.1371/journal.pone.0107525,activity,dispersal
dispersal ability,unknown_10,activity,dispersal
dispersal ability,10.1371/journal.pone.0163338,activity,dispersal
dispersal ability,10.1111/j.1365-2745.2010.01650.x,activity,dispersal
dispersal ability,10.1111/j.1365-2656.2006.01068.x,activity,dispersal
dispersal ability,10.1111/faf.12155,activity,dispersal
dispersal ability,10.2307/1467813,activity,dispersal
dispersal capacity,10.1007/s00442-014-2917-7,activity,dispersal
dispersal capacity,unknown_2,activity,dispersal
dispersal capacity,10.3389/fpls.2016.01224,activity,dispersal
dispersal distance,10.1111/geb.12306,activity,dispersal
dispersal factor,10.1111/jbi.13516,activity,dispersal
dispersal limitation,10.1111/1365-2435.12605,activity,dispersal
dispersal limitation,10.1046/j.1365-2745.2001.00673.x,activity,dispersal
dispersal mechanism,10.1111/1365-2664.12493,activity,dispersal
dispersal mechanism,10.1111/j.1600-0587.2013.00122.x,activity,dispersal
dispersal method,10.1111/1365-2435.13141,activity,dispersal
dispersal method,10.1556/168.2016.17.1.11,activity,dispersal
dispersal method,10.1111/jvs.12288,activity,dispersal
dispersal method,10.1111/1365-2745.12333,activity,dispersal
dispersal method,10.1111/ecog.02516,activity,dispersal
dispersal method,10.1016/j.biocon.2013.12.008,activity,dispersal
dispersal method,10.1111/1365-2664.12022,activity,dispersal
dispersal method,unknown_5,activity,dispersal
dispersal method,10.1002/ecy.2079,activity,dispersal
dispersal method,10.1111/j.1365-2745.2005.01046.x,activity,dispersal
dispersal method,10.1002/ece3.3297,activity,dispersal
dispersal method,10.1890/08-1449.1,activity,dispersal
dispersal method,10.1016/j.actao.2016.06.003,activity,dispersal
dispersal method,10.1111/j.1654-1103.2012.01476.x,activity,dispersal
dispersal mode traits,10.1002/ecs2.2374,activity,dispersal
dispersal power,10.18054/pb.2016.118.3.3924,activity,dispersal
dispersal power,10.1023/B:BIOC.0000004319.91643.9e,activity,dispersal
dispersal propensity,10.1111/geb.12521,activity,dispersal
dispersal strategy,10.1371/journal.pone.0111227,activity,dispersal
dispersal traits,10.1890/14-1731.1.sm,activity,dispersal
dispersal type,10.1371/journal.pone.0090437,activity,dispersal
dispersal type,10.1111/j.1365-2664.2009.01714.x,activity,dispersal
dispersal type,10.1111/j.1654-1103.2009.01160.x,activity,dispersal
dispersule diameter,10.1007/s11692-017-9409-8,activity,dispersal
display size of flowers,10.1007/s00035-017-0198-6,morphology,reproductive structure
displays per minute,10.1111/j.1095-8312.2005.00465.x,activity,displaying
dissemination,10.1016/j.scitotenv.2016.07.227,life history,offspring attribute
dissemination potential,10.1111/j.1365-2656.2006.01068.x,life history,offspring attribute
distance between the bottom of the head and the eye center along the head depth axis,10.1016/j.pocean.2014.10.002,morphology,shape
distance between the insertion of pectoral fin and the bottom of the body,10.1016/j.pocean.2014.10.002,morphology,shape
distance bottom of head-mouth,10.1016/j.pocean.2014.10.002,morphology,shape
distance foraging bird maintains between itself and alarm caller,10.1086/685894,activity,predator avoidance
distance from nares to snout,unknown_9,morphology,shape
distance moved with current,10.1111/j.1365-2427.1994.tb01756.x,activity,dispersal
distance to nearest riparian zone,10.1002/ecs2.2125,habitat,NA
distance travelled with current or distance travelled against current,10.1111/j.1365-2427.1994.tb01755.x,activity,dispersal
distanced moved against current,10.1111/j.1365-2427.1994.tb01756.x,activity,dispersal
distribution,10.1556/ComEc.9.2008.2.6,habitat,distribution
distribution of black setae on the abdominal sternites,10.1111/j.1095-8312.2010.01569.x,morphology,setae
distribution range (km2): Range,10.7717/peerj.3092,habitat,range
distribution region,10.7717/peerj.1410,habitat,distribution
disturbance sensitive traits,10.1023/B:BIOC.0000004319.91643.9e,resource acquisition,disturbance tolerance
disturbance sensitivity,10.1016/j.ufug.2018.01.002,resource acquisition,disturbance tolerance
disturbance tolerance,10.1016/j.pedobi.2016.06.001,resource acquisition,disturbance tolerance
disturbance tolerance,10.1007/s10750-017-3208-1,resource acquisition,disturbance tolerance
diurnality,10.7717/peerj.1241,activity,nocturnality
diurnality,10.1111/jeb.13306,activity,nocturnality
diurnality,10.1890/14-2326.1.sm,activity,nocturnality
diurnality,10.1111/j.1365-2664.2006.001175.x,activity,nocturnality
dive depth,10.1016/j.dsr2.2006.11.012,activity,diving ability
dive time,10.1016/j.dsr2.2006.11.012,activity,diving ability
diving capability,10.1111/1365-2656.12218,activity,diving ability
documented geographic range,unknown_10,habitat,range
dominance,10.2307/5755,resource acquisition,competitive ability
dominant pigment type,unknown_30,morphology,coloration
dormancy,10.1002/ece3.3268,activity,dormancy
dorsal coloration,10.1111/jeb.12421,morphology,coloration
dorsal colour pattern,unknown_15,morphology,coloration
dorsal fin height,10.1111/1365-2435.12838,morphology,shape
dorsal fin height,10.1007/s10641-016-0506-9,morphology,shape
dorsal fin length,10.1007/s10641-016-0506-9,morphology,shape
dorsal fin length,10.1111/1365-2435.12838,morphology,shape
dorsal fin shape,10.1111/faf.12347,morphology,shape
dorsal spine length,unknown_20,morphology,defense
dorsovental position of setae,10.1111/jbi.12284,morphology,setae
dorsoventral pigmentation gradient,10.1111/jbi.12284,morphology,coloration
drift,10.1111/1752-1688.12650,activity,dispersal
drift distance,10.1139/cjfas-54-6-1211,activity,dispersal
drift propensity,10.1899/06-12.1,activity,dispersal
drifting propensity,10.1111/1365-2656.12004,activity,dispersal
drought resistance,10.1111/1365-2656.12838,resource acquisition,desication tolerance
drought tolerance,10.1111/j.1461-0248.2006.01006.x,resource acquisition,desication tolerance
drought tolerance,10.1111/jvs.12465,resource acquisition,desication tolerance
drought tolerance,10.1002/ece3.3297,resource acquisition,desication tolerance
drought tolerance,10.1111/oik.02277,resource acquisition,desication tolerance
dry mass,10.1111/1365-2435.13142,morphology,size
dry mass,10.1111/j.1365-2435.2009.01614.x,morphology,size
dry mass per year of above ground biomass,10.1016/j.scitotenv.2016.04.004,abundance,biomass
dry matter content,10.1890/08-1449.1,composition,energy density
dry matter content,10.1046/j.1365-2435.2002.00664.x,composition,energy density
dry period survival,10.1111/jbi.12946,survival,survival
dry pulp:seed mass,10.1111/j.1472-4642.2009.00599.x,composition,energy density
dry weight ratios of pulp to seed,10.1111/j.1472-4642.2009.00599.x,composition,energy density
duration of adult flight period,10.1890/1051-0761(2006)016[0891:STAPOL]2.0.CO;2,activity,flight traits
duration of breeding season,10.1093/beheco/ars040,life history,fecundity
duration of development,unknown_28,growth,development
duration of flight season,10.1111/1365-2664.12524,activity,seasonality
duration of flowering stage,10.1111/wre.12126,life history,fecundity
duration of juvenile stage,10.1111/wre.12126,growth,larval/juvenile stage length
duration of life cycle,10.1016/S0167-8809(01)00333-4,life history,life span
duration of seed maturation stage,10.1111/wre.12126,life history,fecundity
dysochory,10.1111/1365-2664.12037,survival,dispersal
ear length,10.1098/rsos.160957,morphology,sensing
early development mode,10.7717/peerj.5038,growth,development
ease of access to nectar,10.1111/2041-210X.12471,morphology,nectar
echolocation,10.1007/s00442-010-1854-3,morphology,sensing
echolocation,10.1111/1365-2656.12218,morphology,sensing
eco-morphology,10.1111/j.1466-8238.2011.00719.x,morphology,ecomorphology
ecological breadth,10.1016/j.ecolind.20.17.05.066,resource acquisition,niche space
ecological range,unknown_2,resource acquisition,niche space
ecological specialization,10.1007/s10641-016-0481-1,resource acquisition,niche space
ecological strategy,10.1023/B:BIOC.0000004319.91643.9e,resource acquisition,niche space
ecology,10.1111/1365-2664.12623,resource acquisition,niche space
ecomorphological guild of tadpoles,10.1002/eap.1554/full,morphology,ecomorphology
ecomorphology groups,10.1046/j.1439-0485.2000.00732.x,morphology,ecomorphology
economic importance,10.1007/s10750-017-3208-1,survival,managed species
ecosystem engineer,10.1186/s13071-016-1659-2,activity,ecosystem engineer
ecosystem preference,10.1038/s41559-019-0899-x,habitat,NA
effect of dormancy loss treatment on base germination temperature,10.1111/brv.12461,resource acquisition,temperature tolerance
effective consumption rate,10.1111/oik.05228,resource acquisition,consumption rate
efficiency of PSII,10.5194/bg-14-3371-2017,resource acquisition,photosynthetic rate
egg deposition preference,10.3389/fpls.2016.01224,life history,reproductive mode
egg diameter,10.1002/eap.1621,life history,offspring size
egg diapause,10.2307/1467813,life history,reproductive timing
egg mass,10.2989/00306520309485376,life history,offspring size
egg mass,10.2307/2937081,life history,offspring size
egg maturation time,10.1007/s00442-014-2917-7,growth,larval/juvenile stage length
egg number,10.1007/s00442-014-2917-7,life history,fecundity
egg size,10.1016/j.seares.2013.05.004,life history,offspring size
egg size,unknown_17,life history,offspring size
egg size,10.2307/1941614,life history,offspring size
egg size,10.1111/ele.12728,life history,offspring size
egg size,10.1111/1365-2656.12570,life history,offspring size
egg volume,10.1017/S0952836900002016,life history,offspring size
elemental stoichiometry,10.1093/plankt/fbp098,composition,NA
elevation,10.1111/1365-2664.12493,habitat,elevation
elevation of habitat,10.1111/gcb.12780,habitat,elevation
ellenberg's value for salt tolerance,10.1111/1365-2435.12718,resource acquisition,salinity tolerance
ellenburg indicator values,10.1111/j.1654-1103.2009.01160.x,resource acquisition,niche space
ellenburg indicators for light,10.1111/jvs.12151,resource acquisition,light requirement
ellenburg indicators for N,10.1111/jvs.12151,resource acquisition,nitrogen
embryo type,10.1111/jvs.12375,morphology,offspring attribute
embryo:seed,10.1111/jvs.12375,morphology,offspring attribute
emerge from refuge or not,10.1002/ece3.1395,activity,predator avoidance
emergence,10.1016/S0167-8809(01)00333-4,life history,emergence
emergence calendar,10.1111/wre.12126,life history,emergence
emergence timing,10.1007/s00300-015-1872-z,life history,emergence
endofeeding,unknown_10,resource acquisition,feeding mode
endozoochory,10.1111/1365-2664.12037,activity,dispersal
endozoochory,10.1111/j.1365-2745.2009.01610.x,activity,dispersal
energy allocation,10.1111/faf.12155,activity,energy allocation
energy density,10.1111/1365-2656.12218,composition,energy density
energy expenditure proxies,10.1111/oik.05228,activity,energy allocation
energy requirements,10.1242/jeb.059634,resource acquisition,NA
energy value,unknown_1,composition,energy density
environment,10.1007/s10750-017-3208-1,habitat,NA
environmental cue for reproduction,10.1002/eco.1533,life history,reproductive timing
epidermis smoothness,10.1111/jbi.12284,morphology,integument
epidermis thickness,10.1111/jbi.12284,morphology,integument
epizoochory,10.1111/1365-2664.12037,activity,dispersal
epizoochory,10.1111/j.1365-2745.2009.01610.x,activity,dispersal
epizoochory,10.1111/1365-2745.12098,activity,dispersal
erectness,10.1111/1365-2745.12489,morphology,NA
escape behaviour,10.1111/jeb.12769,activity,predator avoidance
escape behaviour,10.1111/jeb.12421,activity,predator avoidance
escape technique,10.1016/j.yhbeh.2007.08.004,activity,predator avoidance
escape velocity,10.1007/s12080-014-0229-5,activity,predator avoidance
establishment strategy,10.1111/jvs.12288,growth,competitive ability
evasiveness,unknown_1,activity,predator avoidance
evenness root area,10.1111/1365-2745.12489,morphology,water intake
evenness root length,10.1111/1365-2745.12489,morphology,water intake
evenness root mass,10.1111/1365-2745.12489,morphology,water intake
existence of a mechanism of long-distance dispersal,10.1111/j.1365-2664.2011.02039.x,activity,dispersal
exit temporarily,10.1371/journal.pone.0081739,activity,predator avoidance
exofeeding,unknown_10,resource acquisition,feeding mode
exoskeleton,10.1111/oik.01544,morphology,defense
expenditure per progeny,10.2307/2937081,morphology,offspring attribute
exploration,10.1016/j.ntt.2013.07.001,activity,behaviour
exposure of diaspores,10.1002/ece3.3268,morphology,offspring attribute
exposure tolerance,10.1111/1365-2435.12798,resource acquisition,temperature tolerance
expression of molecular weight heat shock protein following heat stress,10.1111/j.1461-0248.2006.01006.x,resource acquisition,temperature tolerance
exudates,10.1890/08-1449.1,resource acquisition,disturbance tolerance
eye diameter,10.1016/j.pocean.2014.10.002,morphology,vision
eye diameter,10.1007/s12080-014-0229-5,morphology,vision
eye diameter,10.1111/1365-2435.12838,morphology,vision
eye diameter,10.1002/ece3.1260,morphology,vision
eye diameter,10.1007/s10641-016-0506-9,morphology,vision
eye diameter,10.1007/s00338-013-1042-0,morphology,vision
eye diameter,10.1002/ecy.2436,morphology,vision
eye position,10.1002/ece3.1260,morphology,vision
eye position,10.1007/s00442-014-3101-9,morphology,vision
eye position,10.1007/s10641-018-0759-6,morphology,vision
eye position,10.1371/journal.pone.0196066,morphology,vision
eye position,10.1111/1365-2435.12838,morphology,vision
eye position,10.7717/peerj.2387,morphology,vision
eye position,10.1016/j.foreco.2019.01.021,morphology,vision
eye size,10.1016/j.dsr.2016.11.011,morphology,vision
eye size,10.1111/icad.12248,morphology,vision
eye size,10.1111/faf.12347,morphology,vision
eye size,10.1007/s10641-018-0759-6,morphology,vision
eye size to body size ratio,10.1007/s10750-017-3199-y,morphology,vision
eye width,10.1007/s00442-014-3101-9,morphology,vision
farmland breeding habitat,10.1371/journal.pone.0107883,habitat,NA
fat,10.1111/j.1472-4642.2009.00599.x,composition,lipid
Fe,10.1111/j.1472-4642.2009.00599.x,composition,iron
Fe weight,10.5194/bg-14-3371-2017,composition,iron
fecundity,10.1111/gcb.13538,life history,fecundity
fecundity,unknown_17,life history,fecundity
fecundity,10.1002/ece3.3969,life history,fecundity
fecundity,10.1111/1752-1688.12650,life history,fecundity
fecundity,10.1038/srep33383,life history,fecundity
fecundity,10.1007/s11160-017-9479-9,life history,fecundity
fecundity,10.1111/gcb.13736,life history,fecundity
fecundity,10.1007/s12080-010-0095-8,life history,fecundity
fecundity,10.1111/oik.01544,life history,fecundity
fecundity,10.1098/rspb.2014.2102,life history,fecundity
fecundity,10.1890/15-0794.1,life history,fecundity
fecundity,10.1371/journal.pone.0093237,life history,fecundity
fecundity,10.1111/j.1365-2486.2009.01963.x,life history,fecundity
fecundity,10.1002/ecs2.2460,life history,fecundity
fecundity per female per spawning season,10.1111/ecog.03782,life history,fecundity
feeding characteristics,10.1111/j.1365-2427.1994.tb01756.x,resource acquisition,feeding mode
feeding diet,10.1002/eap.1621,resource acquisition,diet
feeding guild,10.1371/journal.pone.0090437,resource acquisition,diet
feeding habit,10.1111/fwb.12934,resource acquisition,feeding mode
feeding habitat,10.1002/eap.1621,resource acquisition,feeding mode
feeding habitat,10.1111/fwb.12554,resource acquisition,feeding mode
feeding life stage,unknown_10,resource acquisition,feeding mode
feeding method,10.1111/j.1365-2664.2012.02211.x,resource acquisition,feeding mode
feeding method,10.1046/j.1365-2427.2000.00535.x,resource acquisition,feeding mode
feeding method,10.1371/journal.pone.0081739,resource acquisition,feeding mode
feeding method,10.1111/fwb.12961,resource acquisition,feeding mode
feeding method,10.1007/s10750-018-3697-6,resource acquisition,feeding mode
feeding method,10.1007/s10750-017-3199-y,resource acquisition,feeding mode
feeding method,10.1016/j.csr.2009.01.003,resource acquisition,feeding mode
feeding method,10.2307/1467813,resource acquisition,feeding mode
feeding method,10.1002/ece3.4377,resource acquisition,feeding mode
feeding method,10.1111/ele.12688,resource acquisition,feeding mode
feeding method,10.1016/j.ecolind.2016.07.019,resource acquisition,feeding mode
feeding method,10.1002/eap.1621,resource acquisition,feeding mode
feeding method,10.1007/s11160-016-9446-x,resource acquisition,feeding mode
feeding method,10.1016/j.ecss.2017.11.016,resource acquisition,feeding mode
feeding method,10.1899/06-12.1,resource acquisition,feeding mode
feeding method,http://dx.doi.org/10.3389/fevo.2018.00081.s001,resource acquisition,feeding mode
feeding method,10.1111/mec.14872,resource acquisition,feeding mode
feeding method,10.1111/2041-210X.12591,resource acquisition,feeding mode
feeding method,10.1111/icad.12051,resource acquisition,feeding mode
feeding method,10.7717/peerj.2387,resource acquisition,feeding mode
feeding method,10.1002/ecy.1485,resource acquisition,feeding mode
feeding method,10.1371/journal.pone.0090437,resource acquisition,feeding mode
feeding method,10.1111/oik.04712,resource acquisition,feeding mode
feeding method,unknown_3,resource acquisition,feeding mode
feeding method,10.1016/B978-0-12-386475-8.00005-8,resource acquisition,feeding mode
feeding method,10.1086/696978,resource acquisition,feeding mode
feeding method,10.1111/jeb.12923,resource acquisition,feeding mode
feeding method,10.1111/1365-2435.13141,resource acquisition,feeding mode
feeding method,10.1007/s10021-015-9875-8,resource acquisition,feeding mode
feeding method,10.1111/1365-2435.12075,resource acquisition,feeding mode
feeding method,10.1007/s00442-014-3039-y,resource acquisition,feeding mode
feeding method,10.1111/1365-2435.13142,resource acquisition,feeding mode
feeding method,10.1017/S0031182004005050,resource acquisition,feeding mode
feeding method,10.1016/j.ecss.2013.06.019,resource acquisition,feeding mode
feeding method,10.7717/peerj.3092,resource acquisition,feeding mode
feeding method,10.1016/j.scitotenv.2016.07.227,resource acquisition,feeding mode
feeding method,10.1007/s10750-015-2191-7,resource acquisition,feeding mode
feeding method,unknown_13,resource acquisition,feeding mode
feeding method,10.1111/ele.12081,resource acquisition,feeding mode
feeding method,10.1016/j.agee.2017.01.036,resource acquisition,feeding mode
feeding method,10.1111/j.1461-0248.2008.01255.x,resource acquisition,feeding mode
feeding method,10.1002/ecs2.2460,resource acquisition,feeding mode
feeding method,10.1007/BF00133308,resource acquisition,feeding mode
feeding method,10.3390/insects10040103,resource acquisition,feeding mode
feeding method,10.1111/oik.02100,resource acquisition,feeding mode
feeding mode of adults,10.1111/icad.12051,resource acquisition,feeding mode
feeding mode of larvae,10.1111/icad.12051,resource acquisition,feeding mode
feeding rate,10.1890/0012-9658(2003)084[1129:AHUISP]2.0.CO;2,resource acquisition,consumption rate
feeding rate,10.1007/s00442-013-2673-0,resource acquisition,consumption rate
female age at maturation,10.1002/aqc.1198,life history,age/size at maturity
female body mass,10.2989/00306520309485376,morphology,size
female body mass,10.1111/2041-210X.12211,morphology,size
female dispersal,10.1899/0887-3593(2006)025[0730:FTNONA]2.0.CO;2,activity,dispersal
female dispersal,10.1111/1365-2656.12004,activity,dispersal
female mass change,10.1111/2041-210X.12211,growth,NA
female maturation,10.1890/13-2036.1,growth,NA
female oviposition behaviour,10.1890/13-2036.1,activity,behaviour
female size at maturity,10.1007/s004420000504,life history,age/size at maturity
femur length,10.1007/s00442-014-3101-9,morphology,size
femur length,10.1016/j.foreco.2019.01.021,morphology,size
femur length,10.1111/icad.12248,morphology,size
femur width,10.1111/icad.12248,morphology,size
fertility system,10.1111/1365-2664.12037,life history,reproductive mode
fiber,10.1016/j.rse.2015.06.010,composition,fiber
fibrouses,10.1007/s12080-014-0229-5,composition,fiber
filled seeds per capitulum,10.1890/11-2026.1,life history,fecundity
filtration type,10.1111/ecog.02926,resource acquisition,feeding mode
fine-root C:N mass ratio,10.1890/10-0394.1,composition,carbon
fine-root carbon content,10.1890/10-0394.1,composition,carbon
fine-root N content,10.1890/10-0394.1,composition,nitrogen
fineness coefficient,10.1111/fwb.13233,morphology,NA
fineness ratio,10.1111/1365-2656.12218,morphology,condition
fins area,10.1002/ece3.1260,morphology,fin
fins area ratio,10.1002/ece3.1260,morphology,fin
fins surface ratio,10.1007/s10641-018-0759-6,morphology,fin
fins surface ratio,10.1016/j.dsr.2016.11.011,morphology,fin
fins surface to body size ratio,10.1016/j.dsr.2016.11.011,morphology,fin
fins surface to body size ratio,10.1007/s10641-018-0759-6,morphology,fin
fire resistance,10.1186/1472-6785-12-21,resource acquisition,disturbance tolerance
fire resistance,10.1111/oik.02277,resource acquisition,disturbance tolerance
fire resistance,10.1111/gcb.13174,resource acquisition,disturbance tolerance
fire resistance,10.1111/jvs.12465,resource acquisition,disturbance tolerance
fire response,10.1098/rspb.2014.2102,resource acquisition,disturbance tolerance
fire tolerance,10.1111/oik.02277,resource acquisition,disturbance tolerance
fire tolerance,10.1016/j.foreco.2018.10.061,resource acquisition,disturbance tolerance
fire tolerance,10.1002/ece3.3297,resource acquisition,disturbance tolerance
fire tolerance,10.1111/j.1365-2699.2012.02690.x,resource acquisition,disturbance tolerance
fire tolerance,10.1111/gcb.13174,resource acquisition,disturbance tolerance
first month of flowering,10.1002/ecy.2079,life history,reproductive timing
first month of flowering,10.1111/jvs.12151,life history,reproductive timing
fish length,10.1111/faf.12347,morphology,size
fishing mortality rate,10.1111/1365-2656.12274,survival,managed species
flagella,unknown_30,morphology,mobility
flagella,10.3390/w11020222,morphology,mobility
flagella,10.1016/j.ecolind.2017.12.003,morphology,mobility
flagella,10.1007/s10661-015-4519-1,morphology,mobility
flank-stripe pattern,10.1111/j.1365-2699.2007.01824.x,morphology,coloration
flattened and with two or more life stages outside the stream,10.1046/j.1365-2427.1997.00166.x,morphology,NA
Flattening of clitellum,10.1111/jbi.12284,morphology,reproductive structure
fledging periods,10.2989/00306520309485376,life history,reproductive timing
fledgling mass,10.1111/1365-2656.12264,morphology,offspring attribute
